Date,Open,High,Low,Close,Volume
20-Oct-17,146.84,146.96,145.03,145.25,1078686
19-Oct-17,147.64,149.37,147.40,147.82,1381722
18-Oct-17,149.76,150.27,145.95,146.29,2220913
17-Oct-17,153.31,153.44,151.18,152.05,1204868
16-Oct-17,157.71,157.85,153.03,155.28,1123417
13-Oct-17,153.31,154.39,153.14,154.07,586897
12-Oct-17,151.93,152.80,151.24,152.28,635607
11-Oct-17,152.19,152.63,151.47,152.00,1193762
10-Oct-17,150.99,151.89,150.94,151.50,668007
9-Oct-17,152.28,152.29,150.19,150.24,626318
6-Oct-17,152.17,152.41,150.32,151.09,764940
5-Oct-17,153.12,154.37,152.86,153.34,596191
4-Oct-17,153.59,155.03,153.20,154.31,442368
3-Oct-17,154.93,155.25,152.46,153.63,671515
2-Oct-17,153.10,156.41,153.01,156.27,918330
29-Sep-17,152.45,153.25,151.58,153.14,620031
28-Sep-17,151.36,152.69,150.96,151.55,764325
27-Sep-17,150.92,151.72,150.39,150.77,842347
26-Sep-17,152.53,153.33,150.38,150.70,822767
25-Sep-17,154.51,155.96,154.06,154.63,610719
22-Sep-17,156.75,157.16,154.40,155.09,617357
21-Sep-17,152.97,156.02,152.94,155.36,883114
20-Sep-17,155.10,155.27,152.70,153.40,1094572
19-Sep-17,157.24,157.31,154.83,155.51,888711
18-Sep-17,158.34,158.34,154.91,155.66,809438
15-Sep-17,160.07,160.50,158.34,158.46,3043517
14-Sep-17,157.93,159.09,157.34,157.83,724977
13-Sep-17,161.00,161.64,158.94,159.70,1078997
12-Sep-17,160.70,162.64,160.36,162.49,748677
11-Sep-17,161.60,162.12,161.02,161.67,854222
8-Sep-17,157.64,160.27,157.44,160.08,1275297
7-Sep-17,159.14,159.92,155.97,157.80,2185084
6-Sep-17,155.07,155.76,154.64,155.40,1358321
5-Sep-17,153.40,153.56,151.29,152.47,1536462
1-Sep-17,151.90,153.79,151.43,151.84,1173432
31-Aug-17,146.67,149.68,146.63,149.39,954874
30-Aug-17,145.49,146.34,144.98,145.77,662356
29-Aug-17,144.25,145.85,143.20,145.51,707816
28-Aug-17,145.38,146.99,144.60,146.30,690261
25-Aug-17,144.83,145.53,144.04,144.60,979098
24-Aug-17,143.02,143.14,141.74,142.70,904975
23-Aug-17,144.44,144.44,142.72,142.84,841301
22-Aug-17,141.56,143.79,141.42,143.16,2484735
21-Aug-17,142.94,143.35,139.36,140.85,3140010
18-Aug-17,145.82,146.08,144.18,145.55,1456564
17-Aug-17,150.90,151.91,147.81,147.95,1468837
16-Aug-17,148.91,149.73,148.00,148.44,1735126
15-Aug-17,148.68,149.37,147.32,147.71,1302636
14-Aug-17,148.35,148.92,147.28,147.77,1147003
11-Aug-17,150.03,150.58,147.79,148.61,958069
10-Aug-17,152.87,152.87,149.75,149.97,1057042
9-Aug-17,154.89,154.93,153.42,153.87,1610452
