Date,Open,High,Low,Close,Volume
20-Oct-17,38.24,38.46,38.19,38.28,884798
19-Oct-17,37.96,38.03,37.80,37.92,500092
18-Oct-17,38.08,38.18,38.02,38.12,371913
17-Oct-17,37.55,38.21,37.48,38.09,1463446
16-Oct-17,38.20,38.36,37.97,38.01,650823
13-Oct-17,38.36,38.58,38.30,38.50,590607
12-Oct-17,37.76,38.31,37.69,38.26,731903
11-Oct-17,37.50,37.73,37.48,37.73,681875
10-Oct-17,36.03,40.43,35.97,37.81,5373674
9-Oct-17,36.34,36.36,36.02,36.14,768881
6-Oct-17,36.30,36.75,36.26,36.61,605982
5-Oct-17,36.44,36.56,36.29,36.52,383895
4-Oct-17,36.74,37.03,36.68,36.81,545925
3-Oct-17,36.27,36.69,36.24,36.48,1142200
2-Oct-17,36.22,36.43,36.19,36.30,263376
29-Sep-17,36.28,36.46,36.17,36.40,405387
28-Sep-17,35.62,36.07,35.62,36.00,406669
27-Sep-17,35.31,35.56,35.29,35.53,379703
26-Sep-17,35.52,35.68,35.49,35.62,342391
25-Sep-17,35.99,36.04,35.75,35.89,258029
22-Sep-17,35.94,35.98,35.76,35.89,250958
21-Sep-17,35.82,35.99,35.74,35.75,403899
20-Sep-17,36.16,36.33,35.84,36.00,338441
19-Sep-17,36.40,36.50,36.20,36.27,665545
18-Sep-17,36.71,36.83,36.59,36.71,638356
15-Sep-17,36.70,36.86,36.58,36.81,810361
14-Sep-17,36.61,36.85,36.54,36.82,458865
13-Sep-17,37.00,37.01,36.68,36.74,221082
12-Sep-17,37.10,37.22,37.07,37.17,207744
11-Sep-17,37.14,37.14,36.93,37.03,211006
8-Sep-17,37.05,37.19,36.98,37.07,278552
7-Sep-17,36.60,36.70,36.58,36.63,199545
6-Sep-17,36.31,36.43,36.17,36.35,227543
5-Sep-17,36.28,36.38,36.15,36.28,229909
1-Sep-17,36.54,36.56,36.25,36.30,470151
31-Aug-17,36.04,36.42,36.01,36.40,345967
30-Aug-17,35.99,36.00,35.82,35.93,367423
29-Aug-17,35.87,35.92,35.74,35.80,344658
28-Aug-17,36.04,36.04,35.77,35.87,365990
25-Aug-17,36.08,36.22,35.95,35.95,373448
24-Aug-17,35.82,35.93,35.75,35.77,315069
23-Aug-17,35.74,35.79,35.59,35.64,400486
22-Aug-17,35.69,35.92,35.63,35.89,354069
21-Aug-17,35.52,35.52,35.33,35.41,223304
