Date,Open,High,Low,Close,Volume
20-Oct-17,49.77,49.81,49.33,49.51,917432
19-Oct-17,49.92,50.04,49.76,50.02,457502
18-Oct-17,49.57,49.75,49.48,49.53,510963
17-Oct-17,49.40,49.63,49.21,49.59,447250
16-Oct-17,49.84,49.94,49.49,49.63,544718
13-Oct-17,49.71,49.72,49.45,49.49,702157
12-Oct-17,49.71,49.89,49.60,49.74,1333463
11-Oct-17,50.00,50.06,49.97,49.99,121911
10-Oct-17,50.24,50.24,49.77,50.10,1126931
9-Oct-17,50.31,50.54,50.16,50.42,866837
6-Oct-17,50.37,50.64,50.36,50.57,1776344
5-Oct-17,49.68,50.62,49.67,50.61,3692201
4-Oct-17,50.01,50.11,49.91,50.03,400882
3-Oct-17,49.83,49.93,49.63,49.80,948895
2-Oct-17,49.77,49.97,49.70,49.77,1166983
29-Sep-17,49.38,49.81,49.23,49.79,1149471
28-Sep-17,49.56,49.58,49.33,49.40,622310
27-Sep-17,49.43,49.84,49.41,49.79,871312
26-Sep-17,49.68,49.74,49.50,49.55,607992
25-Sep-17,49.98,50.20,49.91,49.97,489059
22-Sep-17,50.51,50.65,50.15,50.34,774816
21-Sep-17,50.08,50.25,49.94,49.95,854695
20-Sep-17,49.35,49.42,48.84,49.08,1236493
19-Sep-17,49.39,49.40,49.05,49.10,857993
18-Sep-17,48.71,48.74,48.47,48.64,1183580
15-Sep-17,48.83,48.95,48.43,48.43,2378561
14-Sep-17,48.50,48.86,48.48,48.72,1114288
13-Sep-17,48.85,48.99,48.39,48.51,922425
12-Sep-17,49.06,49.20,48.83,48.83,916841
11-Sep-17,48.89,48.98,48.38,48.74,1528829
8-Sep-17,49.42,49.63,49.37,49.37,1313875
7-Sep-17,49.54,49.57,49.00,49.32,1094116
6-Sep-17,49.04,49.46,49.00,49.42,852907
5-Sep-17,48.75,48.96,48.55,48.81,806923
1-Sep-17,49.36,49.43,49.07,49.31,806878
31-Aug-17,48.36,48.84,48.33,48.84,828922
30-Aug-17,48.44,48.48,48.07,48.19,758194
29-Aug-17,48.70,49.20,48.67,48.96,459570
28-Aug-17,49.05,49.10,48.83,49.02,890125
25-Aug-17,48.68,48.95,48.65,48.70,627542
24-Aug-17,48.50,48.65,48.34,48.43,667994
23-Aug-17,48.37,48.38,48.18,48.24,674409
22-Aug-17,48.29,48.51,48.29,48.46,451068
21-Aug-17,48.27,48.38,48.10,48.22,514028
18-Aug-17,48.08,48.39,47.94,48.19,573279
17-Aug-17,48.72,48.82,48.08,48.08,572158
16-Aug-17,48.26,48.46,48.24,48.43,1313746
15-Aug-17,47.82,48.03,47.67,47.83,440287
14-Aug-17,47.81,47.91,47.72,47.73,451270
11-Aug-17,47.59,47.75,47.43,47.55,717957
10-Aug-17,47.47,47.52,47.19,47.41,1322197
9-Aug-17,47.39,47.75,47.20,47.75,1424813
8-Aug-17,48.08,48.35,47.83,47.92,797501
7-Aug-17,48.04,48.17,47.89,47.97,575231
4-Aug-17,48.12,48.30,47.87,48.08,1172670
3-Aug-17,47.75,47.87,47.50,47.68,630802
2-Aug-17,47.58,47.67,47.27,47.48,685810
1-Aug-17,47.31,47.36,46.94,47.04,1703906
31-Jul-17,-,-,47.34,47.36,1633603
28-Jul-17,47.53,48.04,47.51,47.56,1977342
27-Jul-17,48.07,48.09,47.68,48.09,1199311
26-Jul-17,48.10,48.23,47.76,48.02,719114
25-Jul-17,48.71,48.75,48.03,48.07,914480
24-Jul-17,47.71,47.85,47.52,47.71,1179870
21-Jul-17,47.87,47.88,47.33,47.71,941576
20-Jul-17,47.89,48.27,47.62,48.06,4911548
19-Jul-17,47.54,47.64,46.79,46.81,3670528
18-Jul-17,48.04,48.16,47.47,47.74,1977787
17-Jul-17,48.19,48.22,47.97,48.18,1958688
14-Jul-17,48.51,48.51,48.15,48.18,2757738
13-Jul-17,48.89,48.90,48.25,48.64,1486581
12-Jul-17,48.89,49.22,48.82,48.89,1157200
11-Jul-17,47.61,47.92,47.55,47.80,574100
10-Jul-17,47.69,47.96,47.66,47.66,705100
7-Jul-17,47.49,47.94,47.39,47.90,851532
6-Jul-17,47.15,47.43,46.98,47.22,1085680
5-Jul-17,47.53,47.97,47.53,47.83,903557
3-Jul-17,47.77,47.95,47.66,47.80,359232
30-Jun-17,48.39,48.49,47.76,47.91,1170836
29-Jun-17,48.73,48.73,47.95,48.16,1082083
28-Jun-17,49.36,49.48,49.19,49.29,830258
27-Jun-17,49.32,49.61,49.28,49.29,613283
26-Jun-17,49.80,49.87,49.56,49.59,1089619
23-Jun-17,49.49,49.49,49.12,49.33,3888850
22-Jun-17,48.97,50.02,48.95,49.61,5003465
21-Jun-17,47.86,48.66,47.85,48.60,1327995
20-Jun-17,48.55,48.62,48.11,48.31,806334
19-Jun-17,48.36,48.69,48.34,48.57,1211171
16-Jun-17,47.56,47.78,47.39,47.73,1511331
15-Jun-17,47.06,47.80,46.97,47.77,1325072
14-Jun-17,48.14,48.16,47.41,47.66,2033863
13-Jun-17,47.77,47.93,47.59,47.60,2124859
12-Jun-17,47.83,47.86,47.22,47.57,1423228
9-Jun-17,47.83,48.32,47.77,48.20,989672
8-Jun-17,48.35,48.38,48.05,48.10,2441590
7-Jun-17,48.95,49.08,48.22,48.34,7604954
6-Jun-17,49.55,49.71,49.11,49.20,1560386
5-Jun-17,49.93,50.03,49.79,49.96,648187
2-Jun-17,49.89,50.18,49.83,50.01,971145
1-Jun-17,49.27,49.44,49.23,49.28,710127
31-May-17,49.60,49.90,49.39,49.59,937974
30-May-17,48.81,49.14,48.80,49.06,545033
26-May-17,48.98,49.18,48.84,49.00,1071057
25-May-17,49.05,49.17,48.80,49.03,3157405
24-May-17,49.01,49.20,48.83,49.15,5230204
23-May-17,49.32,49.41,49.00,49.07,1835591
22-May-17,49.41,49.45,49.11,49.16,951376
19-May-17,49.35,49.52,49.19,49.31,1390023
18-May-17,49.10,49.38,48.93,49.15,3395251
17-May-17,50.11,50.20,49.40,49.40,3108103
16-May-17,50.19,50.24,49.91,50.21,4283681
15-May-17,49.05,49.64,49.01,49.41,1406393
12-May-17,48.72,49.33,48.61,49.21,1521990
11-May-17,48.01,48.43,48.00,48.34,1076931
10-May-17,49.15,49.73,49.15,49.67,1576727
9-May-17,48.75,49.13,48.64,49.11,2286493
8-May-17,49.10,49.13,48.53,48.63,1533803
5-May-17,49.44,49.44,48.92,49.12,4180377
4-May-17,48.51,48.98,48.49,48.96,2901717
3-May-17,47.73,47.91,47.47,47.80,1649245
2-May-17,47.74,48.19,47.48,48.15,2683303
1-May-17,47.19,47.46,47.11,47.26,1319548
28-Apr-17,47.51,47.52,46.90,47.30,2167513
27-Apr-17,46.55,46.92,46.42,46.91,1163324
26-Apr-17,46.29,46.62,46.29,46.42,950824
25-Apr-17,46.43,46.49,46.19,46.40,1567444
24-Apr-17,46.11,46.16,45.72,45.90,3973977
21-Apr-17,44.24,44.28,43.97,44.09,1715879
20-Apr-17,44.75,45.03,44.59,44.79,1663453
19-Apr-17,44.40,44.47,44.25,44.31,1527336
18-Apr-17,44.82,44.87,44.27,44.45,1688382
17-Apr-17,45.50,45.81,45.48,45.53,1190911
13-Apr-17,45.26,45.86,45.21,45.65,1373382
12-Apr-17,45.28,45.49,45.14,45.39,732054
11-Apr-17,45.09,45.20,44.77,45.17,1194015
10-Apr-17,44.84,44.93,44.57,44.58,666121
7-Apr-17,44.92,45.09,44.79,44.81,1184503
6-Apr-17,45.63,45.66,45.17,45.31,1191948
5-Apr-17,45.54,45.69,45.19,45.28,1796036
4-Apr-17,45.25,45.51,45.23,45.49,858498
3-Apr-17,44.88,45.20,44.80,45.14,782366
