Date,Open,High,Low,Close,Volume
20-Oct-17,50.80,52.11,50.38,51.94,1669506
19-Oct-17,50.42,51.00,49.15,50.72,1584453
18-Oct-17,51.90,52.67,51.29,51.42,1065028
17-Oct-17,51.03,51.83,50.75,51.72,1030899
16-Oct-17,50.65,52.09,50.30,50.73,1880934
13-Oct-17,51.00,51.29,50.37,50.57,1229699
12-Oct-17,50.97,52.12,50.76,51.28,1505648
11-Oct-17,50.75,51.76,50.42,51.17,1156245
10-Oct-17,51.21,51.60,49.77,51.07,1765741
9-Oct-17,51.03,52.03,50.30,51.26,2120037
6-Oct-17,50.50,51.97,49.74,50.71,1852630
5-Oct-17,49.75,50.41,49.35,50.26,950168
4-Oct-17,48.83,50.48,48.36,49.78,1356838
3-Oct-17,50.00,50.19,48.19,49.18,1898442
2-Oct-17,47.00,49.58,46.55,49.55,4553016
29-Sep-17,47.15,47.72,42.97,45.36,9172855
28-Sep-17,46.00,47.78,45.78,47.15,1983947
27-Sep-17,44.48,46.84,44.37,46.60,1772781
26-Sep-17,44.21,44.88,43.43,44.34,1381326
25-Sep-17,45.37,45.97,43.64,43.90,2302030
22-Sep-17,46.97,46.97,45.03,45.17,1822315
21-Sep-17,46.50,47.28,45.95,47.10,1222654
20-Sep-17,45.75,46.86,45.26,46.73,1588030
19-Sep-17,47.17,47.48,45.71,45.77,1638623
18-Sep-17,46.53,47.41,46.06,46.83,1798737
15-Sep-17,46.20,47.07,45.61,46.51,3466205
14-Sep-17,44.66,46.30,44.15,46.19,2221497
13-Sep-17,44.12,45.42,43.77,44.79,1454918
12-Sep-17,44.49,44.92,43.57,44.10,1559105
11-Sep-17,43.68,45.07,42.35,44.58,2649225
8-Sep-17,45.25,45.48,42.73,43.01,2882617
7-Sep-17,47.58,47.59,44.99,45.38,3788534
6-Sep-17,46.34,47.96,44.77,46.73,12382500
5-Sep-17,40.93,41.50,39.79,41.08,1559951
1-Sep-17,40.35,41.25,39.25,41.23,1953919
31-Aug-17,39.58,40.66,38.64,40.29,2620315
30-Aug-17,38.41,39.50,38.24,39.27,1752167
29-Aug-17,37.56,38.90,37.13,38.25,1866913
28-Aug-17,36.97,38.20,36.14,38.00,1602549
25-Aug-17,36.41,36.73,35.80,36.51,1004640
24-Aug-17,36.12,36.53,35.52,36.32,1663270
