Date,Open,High,Low,Close,Volume
20-Oct-17,91.00,91.49,90.82,91.24,215328
19-Oct-17,90.44,90.66,90.00,90.60,320263
18-Oct-17,90.98,90.98,90.21,90.50,287539
17-Oct-17,90.35,90.97,90.35,90.79,233511
16-Oct-17,89.97,90.76,89.66,90.67,270706
13-Oct-17,90.38,90.93,89.29,89.49,450553
12-Oct-17,90.00,90.74,89.79,90.60,250180
11-Oct-17,90.07,90.22,89.96,89.96,50819
10-Oct-17,89.84,90.02,89.23,89.90,465818
9-Oct-17,90.37,90.51,89.63,89.91,216708
6-Oct-17,90.91,91.15,90.32,90.51,271653
5-Oct-17,90.30,91.18,90.06,91.02,438826
4-Oct-17,89.61,90.76,89.39,90.32,457271
3-Oct-17,89.04,89.67,88.81,89.64,438134
2-Oct-17,88.70,88.92,87.98,88.80,381288
29-Sep-17,87.67,88.43,87.31,88.40,454727
28-Sep-17,88.08,88.08,87.28,87.66,286442
27-Sep-17,87.07,87.73,86.52,87.61,445799
26-Sep-17,86.82,87.01,86.63,86.78,450869
25-Sep-17,87.00,87.00,86.49,86.50,323413
22-Sep-17,86.71,87.30,86.70,87.04,405737
21-Sep-17,87.09,87.18,86.48,86.76,391679
20-Sep-17,87.03,87.29,86.54,87.08,448580
19-Sep-17,86.83,87.19,86.27,86.90,495567
18-Sep-17,86.90,87.23,86.48,86.73,288310
15-Sep-17,86.80,86.96,86.26,86.64,390934
14-Sep-17,86.86,87.36,86.49,86.80,318032
13-Sep-17,87.22,87.31,86.81,87.09,431638
12-Sep-17,87.63,87.63,86.91,87.42,256712
11-Sep-17,87.71,88.10,87.17,87.48,397318
8-Sep-17,86.91,87.52,86.70,87.05,531730
7-Sep-17,87.07,87.16,86.66,87.00,298352
6-Sep-17,87.25,87.27,86.55,86.99,409663
5-Sep-17,86.67,87.26,86.06,87.09,468397
1-Sep-17,87.17,87.24,86.65,86.88,363462
31-Aug-17,86.26,87.20,86.17,87.16,314212
30-Aug-17,85.44,86.11,85.21,86.00,320375
29-Aug-17,84.83,85.76,84.67,85.46,330736
28-Aug-17,85.10,85.45,84.61,85.22,660358
25-Aug-17,84.96,85.21,84.63,84.91,423585
24-Aug-17,85.26,85.31,84.87,85.00,270611
23-Aug-17,85.89,86.11,85.11,85.12,262230
22-Aug-17,84.93,86.47,84.90,86.26,347580
21-Aug-17,85.09,85.27,84.73,84.98,271038
