Date,Open,High,Low,Close,Volume
20-Oct-17,42.85,43.25,41.80,41.85,421091
19-Oct-17,41.65,42.80,40.36,42.60,703609
18-Oct-17,41.35,41.55,40.80,41.25,236624
17-Oct-17,41.25,41.25,40.75,41.05,249416
16-Oct-17,41.60,42.15,40.85,41.20,332555
13-Oct-17,41.25,41.70,40.88,41.35,371322
12-Oct-17,41.30,41.68,41.05,41.30,247482
11-Oct-17,41.15,41.70,41.05,41.20,334200
10-Oct-17,41.45,41.45,40.71,41.10,306221
9-Oct-17,42.20,42.45,40.95,41.15,437870
6-Oct-17,41.50,42.40,41.35,42.40,539435
5-Oct-17,41.40,41.85,40.95,41.75,583635
4-Oct-17,41.15,41.65,40.80,41.35,354837
3-Oct-17,41.00,41.20,39.90,41.10,594860
2-Oct-17,40.35,41.00,40.00,40.90,692902
29-Sep-17,39.45,40.20,39.35,40.00,843527
28-Sep-17,38.80,39.30,37.95,39.30,638512
27-Sep-17,37.95,39.35,37.46,39.05,620751
26-Sep-17,39.05,39.10,37.55,37.70,528356
25-Sep-17,38.85,39.60,38.50,39.10,653145
22-Sep-17,39.35,39.62,38.80,39.00,670853
21-Sep-17,36.30,39.75,36.16,39.40,1555291
20-Sep-17,38.70,38.96,36.50,36.75,2358459
19-Sep-17,44.70,45.79,37.22,38.05,6101185
18-Sep-17,49.25,50.04,48.88,49.65,650680
15-Sep-17,48.65,49.18,46.90,49.05,1026254
14-Sep-17,47.90,50.00,47.70,48.85,842251
13-Sep-17,48.15,48.95,47.71,47.90,651586
12-Sep-17,48.30,48.50,47.80,48.35,361758
11-Sep-17,49.05,49.79,47.90,48.20,494557
8-Sep-17,47.65,49.95,47.65,48.60,806019
7-Sep-17,46.85,48.05,45.85,47.80,834435
6-Sep-17,47.25,47.90,45.90,46.75,485285
5-Sep-17,47.10,47.75,46.50,47.05,458533
1-Sep-17,46.00,47.50,45.75,47.40,788060
31-Aug-17,43.70,46.40,43.65,45.80,835200
30-Aug-17,43.80,44.60,43.55,43.55,488534
29-Aug-17,44.10,44.41,43.10,43.75,632973
28-Aug-17,44.25,44.85,43.65,44.75,859926
25-Aug-17,45.15,45.20,43.90,43.95,578264
24-Aug-17,45.30,46.02,44.35,45.00,458913
23-Aug-17,46.00,46.15,44.90,45.00,575766
22-Aug-17,44.10,46.55,44.10,46.30,650776
21-Aug-17,43.25,44.12,43.25,43.95,445777
18-Aug-17,43.30,43.85,42.81,43.20,626131
17-Aug-17,45.90,46.35,43.50,43.50,812429
16-Aug-17,44.75,46.45,44.10,45.65,1128367
15-Aug-17,42.95,44.42,42.35,44.30,749164
14-Aug-17,41.65,42.85,41.30,42.70,513174
11-Aug-17,40.70,41.75,40.00,41.40,794247
10-Aug-17,41.00,42.10,40.25,40.35,487759
9-Aug-17,41.45,41.75,40.75,41.20,397116
8-Aug-17,42.15,42.44,41.45,41.70,358778
7-Aug-17,41.20,42.42,41.20,42.10,474606
4-Aug-17,41.80,41.80,40.35,41.05,661571
3-Aug-17,42.95,42.95,40.70,41.70,1060237
2-Aug-17,40.70,41.35,39.55,40.60,604080
1-Aug-17,40.45,40.95,40.25,40.45,465403
31-Jul-17,41.05,41.50,40.40,40.45,626345
28-Jul-17,40.90,41.35,40.77,41.00,579942
27-Jul-17,42.25,43.00,41.00,41.10,513408
26-Jul-17,42.75,42.81,41.80,42.20,363512
25-Jul-17,43.45,43.90,42.75,42.80,410896
24-Jul-17,42.30,43.50,42.25,43.50,395291
21-Jul-17,42.65,42.90,42.00,42.20,424282
20-Jul-17,43.45,43.67,41.80,42.30,526500
19-Jul-17,43.60,44.00,42.90,43.55,785537
18-Jul-17,42.05,43.75,41.95,43.05,1012932
17-Jul-17,42.80,43.24,40.20,41.95,1366935
14-Jul-17,44.05,44.45,43.60,44.25,368420
13-Jul-17,44.35,44.73,43.00,44.05,564029
12-Jul-17,44.50,44.90,44.38,44.40,381139
11-Jul-17,43.20,44.35,43.20,44.05,491349
10-Jul-17,43.20,43.78,42.80,43.35,509440
7-Jul-17,43.05,43.22,42.80,43.15,452098
6-Jul-17,42.10,42.95,40.90,42.85,652341
5-Jul-17,44.05,44.12,42.65,42.75,790430
3-Jul-17,43.25,43.70,42.80,43.60,181055
30-Jun-17,42.75,43.48,42.35,43.10,355400
29-Jun-17,43.00,43.15,42.45,42.80,668492
28-Jun-17,42.85,43.75,42.15,43.20,951660
27-Jun-17,43.85,43.85,41.50,41.85,733510
26-Jun-17,44.35,44.52,43.45,44.10,310040
23-Jun-17,43.85,44.95,43.40,44.15,686153
22-Jun-17,42.60,43.65,42.60,43.65,543684
21-Jun-17,41.40,42.85,41.40,42.75,606255
20-Jun-17,40.35,41.50,39.95,41.40,734772
