Date,Open,High,Low,Close,Volume
20-Oct-17,149.99,150.51,148.89,150.49,1274442
19-Oct-17,148.82,149.33,148.05,149.32,869003
18-Oct-17,149.00,150.00,148.46,148.64,866723
17-Oct-17,147.00,148.97,146.65,148.79,1249035
16-Oct-17,146.46,147.58,146.26,147.29,950518
13-Oct-17,146.46,146.78,146.10,146.69,667239
12-Oct-17,146.15,146.86,145.78,146.56,823549
11-Oct-17,145.49,146.60,144.91,145.61,189804
10-Oct-17,145.73,146.55,143.55,144.69,1714886
9-Oct-17,148.66,149.06,145.52,145.93,1472739
6-Oct-17,148.16,149.23,147.92,149.00,1129048
5-Oct-17,145.96,148.35,145.50,148.31,1686179
4-Oct-17,143.88,146.42,143.86,145.97,1177467
3-Oct-17,143.80,144.47,143.43,143.63,1105398
2-Oct-17,142.42,143.61,141.68,143.51,1056312
29-Sep-17,140.41,142.08,140.21,142.02,1204232
28-Sep-17,140.83,141.00,139.51,140.22,686181
27-Sep-17,141.30,141.50,139.74,140.97,736412
26-Sep-17,140.79,141.52,140.28,141.08,856585
25-Sep-17,140.89,141.33,138.94,140.14,917166
22-Sep-17,141.01,141.18,140.27,140.89,713936
21-Sep-17,142.30,142.64,140.64,140.67,848021
20-Sep-17,143.46,143.71,141.70,142.71,655503
19-Sep-17,144.95,144.95,142.90,143.04,818150
18-Sep-17,144.15,144.83,143.77,144.53,810761
15-Sep-17,144.72,145.04,143.31,143.88,3153992
14-Sep-17,142.79,144.93,142.76,144.49,1570128
13-Sep-17,143.50,144.16,142.72,143.03,1423569
12-Sep-17,143.69,143.82,142.74,143.53,802168
11-Sep-17,143.21,143.69,142.43,143.69,1043732
8-Sep-17,142.23,143.06,142.22,142.50,863772
7-Sep-17,141.33,142.56,141.00,142.22,746778
6-Sep-17,141.90,141.91,139.51,141.12,1108708
5-Sep-17,140.47,142.26,140.45,141.61,1643638
1-Sep-17,141.54,141.79,140.20,141.09,932343
31-Aug-17,139.33,141.59,139.33,141.37,1305903
30-Aug-17,139.20,139.76,138.56,139.33,790030
29-Aug-17,139.00,139.57,138.75,139.41,786037
28-Aug-17,140.60,140.60,139.10,139.57,1190710
25-Aug-17,139.94,140.34,139.34,139.88,1397244
24-Aug-17,138.50,138.99,138.14,138.77,1339958
23-Aug-17,141.00,141.43,137.70,138.36,4313112
22-Aug-17,145.22,146.69,144.96,145.51,1491759
21-Aug-17,144.25,145.27,143.83,145.13,1099681
18-Aug-17,144.92,145.44,144.08,144.29,1673285
17-Aug-17,147.35,147.43,145.33,145.36,733289
16-Aug-17,147.86,148.04,147.17,147.41,876022
15-Aug-17,146.29,147.83,146.22,147.44,1429538
14-Aug-17,144.98,146.28,144.71,146.00,1104546
11-Aug-17,144.52,144.80,143.54,144.18,847631
10-Aug-17,144.82,145.08,143.81,143.91,768154
9-Aug-17,146.25,146.25,144.88,145.18,1080989
8-Aug-17,146.48,146.73,145.86,146.14,645075
7-Aug-17,146.59,146.76,146.10,146.73,674943
4-Aug-17,147.09,147.09,145.89,146.53,638405
3-Aug-17,144.52,146.42,144.29,146.37,761066
2-Aug-17,147.69,147.90,144.68,145.14,1239378
1-Aug-17,147.58,148.84,146.86,147.87,1180503
31-Jul-17,-,-,-,147.10,1455661
28-Jul-17,144.85,147.91,144.85,147.80,1927066
27-Jul-17,145.78,145.99,142.97,144.05,1465718
26-Jul-17,146.04,146.24,144.85,145.75,1107814
25-Jul-17,147.49,147.49,145.54,146.06,962961
24-Jul-17,146.25,147.03,145.30,146.84,869450
21-Jul-17,147.43,148.15,145.91,146.19,1158620
20-Jul-17,146.36,147.78,146.34,147.40,1011733
19-Jul-17,145.54,146.45,145.38,146.22,733305
18-Jul-17,144.60,145.57,144.00,145.37,922502
17-Jul-17,145.45,145.78,144.44,144.81,702789
14-Jul-17,143.29,145.99,143.29,145.40,901770
13-Jul-17,144.36,144.42,142.91,143.20,1132501
12-Jul-17,141.03,145.10,140.88,144.36,1884829
11-Jul-17,140.61,141.06,140.26,140.50,1006891
10-Jul-17,140.86,141.22,140.43,140.56,831077
7-Jul-17,139.78,141.21,139.36,141.12,1239793
6-Jul-17,139.15,139.46,138.00,139.27,1182427
5-Jul-17,138.56,139.98,138.19,139.74,1040930
3-Jul-17,139.23,139.43,138.09,138.22,487567
30-Jun-17,138.97,139.71,138.78,138.78,1081938
29-Jun-17,140.00,140.21,137.77,138.81,1270569
28-Jun-17,139.95,140.19,139.48,139.80,700908
27-Jun-17,139.91,140.54,139.24,139.59,804614
26-Jun-17,141.17,141.72,139.80,139.91,702872
23-Jun-17,141.19,141.99,140.68,141.12,1161183
