Date,Open,High,Low,Close,Volume
20-Oct-17,108.00,108.70,107.02,108.31,74008
19-Oct-17,105.78,108.16,105.50,107.89,55675
18-Oct-17,108.22,108.40,104.70,105.57,93784
17-Oct-17,107.62,109.95,107.00,108.50,63453
16-Oct-17,110.52,111.48,107.79,107.85,26832
13-Oct-17,110.73,111.98,110.01,110.47,25656
12-Oct-17,110.80,111.81,110.02,110.52,41061
11-Oct-17,112.39,112.45,110.43,112.45,760
10-Oct-17,113.56,113.71,112.00,112.45,72952
9-Oct-17,114.50,114.50,112.77,113.31,46235
6-Oct-17,112.92,114.50,112.92,114.20,31995
5-Oct-17,113.01,114.19,111.95,113.51,24426
4-Oct-17,113.79,114.45,112.43,112.92,38451
3-Oct-17,114.26,114.95,112.19,114.28,38509
2-Oct-17,113.00,115.03,112.37,114.14,66844
29-Sep-17,111.91,113.14,110.80,112.69,75268
28-Sep-17,111.18,112.86,110.86,111.90,78458
27-Sep-17,110.84,112.50,110.12,111.00,69290
26-Sep-17,110.83,111.76,109.07,110.78,47757
25-Sep-17,109.07,111.25,108.66,110.94,63904
22-Sep-17,107.72,109.78,107.41,109.10,65561
21-Sep-17,107.76,108.62,107.20,107.88,46088
20-Sep-17,106.51,107.54,105.67,107.17,94495
19-Sep-17,106.25,106.91,105.50,106.16,79485
18-Sep-17,106.44,107.07,105.18,105.92,69111
15-Sep-17,105.18,106.88,105.18,106.17,93861
14-Sep-17,105.14,106.43,103.44,105.62,110146
13-Sep-17,104.67,105.94,103.21,104.58,98039
12-Sep-17,105.79,107.32,104.40,104.44,94672
11-Sep-17,105.55,106.58,104.43,105.47,85119
8-Sep-17,105.53,107.10,104.89,104.95,53370
7-Sep-17,105.72,106.84,104.81,105.56,68728
6-Sep-17,102.78,105.74,102.78,105.49,69265
5-Sep-17,105.22,105.96,101.66,102.83,64090
1-Sep-17,105.49,105.88,103.24,105.42,93224
31-Aug-17,102.68,105.32,102.60,104.84,128756
30-Aug-17,102.11,103.78,101.52,102.34,90014
29-Aug-17,102.36,103.19,101.63,102.16,68338
28-Aug-17,103.13,103.85,101.51,102.69,26766
25-Aug-17,102.56,104.29,102.05,102.66,90841
24-Aug-17,103.32,104.58,101.73,102.30,133909
23-Aug-17,103.87,104.90,102.19,103.14,79432
22-Aug-17,102.08,104.49,101.18,103.47,90314
21-Aug-17,101.73,102.88,101.32,101.55,94781
18-Aug-17,100.03,103.96,100.03,101.89,176274
17-Aug-17,101.00,101.71,100.06,100.64,201807
16-Aug-17,100.59,101.86,100.05,101.26,133485
15-Aug-17,99.73,101.12,99.73,100.00,132736
14-Aug-17,98.90,101.08,98.33,100.29,156032
11-Aug-17,96.67,99.18,96.35,98.16,151656
10-Aug-17,101.44,103.00,96.39,97.26,244702
9-Aug-17,94.00,105.55,94.00,101.38,597718
8-Aug-17,112.75,114.73,108.46,109.40,183212
7-Aug-17,113.28,114.06,110.43,113.29,186435
4-Aug-17,115.03,116.00,113.17,113.82,201542
3-Aug-17,115.95,115.95,113.24,115.47,202244
2-Aug-17,115.37,117.18,114.43,116.20,131507
1-Aug-17,114.72,115.79,113.67,115.79,99871
31-Jul-17,-,116.85,114.13,114.33,132998
28-Jul-17,113.66,115.92,113.66,115.91,36148
27-Jul-17,114.94,116.22,113.73,114.59,97842
26-Jul-17,115.16,116.14,114.62,115.34,38619
25-Jul-17,115.00,116.01,113.71,115.16,81372
24-Jul-17,114.62,115.68,113.16,115.17,62970
21-Jul-17,115.85,115.85,113.86,114.69,77427
20-Jul-17,114.23,116.00,114.23,115.82,33025
19-Jul-17,114.94,115.98,113.07,114.26,83927
18-Jul-17,113.99,114.98,110.27,114.50,98961
17-Jul-17,113.42,114.90,113.02,114.27,89223
14-Jul-17,114.88,114.92,112.60,113.80,60662
13-Jul-17,115.17,115.59,113.00,114.58,117169
12-Jul-17,116.14,116.14,112.92,115.73,69156
11-Jul-17,113.95,116.00,110.36,115.77,130397
10-Jul-17,114.82,114.82,113.12,114.48,95695
7-Jul-17,116.56,116.56,112.96,114.92,95054
6-Jul-17,115.55,116.40,113.02,116.29,76017
5-Jul-17,115.01,116.80,113.11,116.28,79476
3-Jul-17,111.95,115.24,111.95,114.98,28735
30-Jun-17,112.54,115.29,110.56,112.06,61031
29-Jun-17,114.24,115.32,110.22,112.42,42499
28-Jun-17,116.24,116.77,114.18,114.63,33381
27-Jun-17,116.05,117.21,115.34,116.16,41146
26-Jun-17,116.70,117.14,115.05,116.25,34508
23-Jun-17,114.23,116.87,111.44,116.06,44295
22-Jun-17,114.37,117.13,112.74,114.02,62742
21-Jun-17,112.00,114.59,110.52,114.12,66617
20-Jun-17,111.75,112.32,110.60,112.16,55461
19-Jun-17,113.12,113.12,110.20,112.00,67145
16-Jun-17,108.27,111.65,107.19,111.44,60810
15-Jun-17,109.88,109.98,107.03,108.66,45120
14-Jun-17,107.50,110.73,107.25,110.60,69403
13-Jun-17,109.11,109.12,106.39,107.10,58574
12-Jun-17,106.70,109.59,106.70,109.00,77324
9-Jun-17,105.16,108.00,105.16,106.70,75310
8-Jun-17,104.40,105.60,103.75,105.16,40537
7-Jun-17,104.81,105.52,103.61,104.05,64120
6-Jun-17,106.86,106.86,104.07,105.44,49968
5-Jun-17,108.24,108.24,105.21,107.40,48862
2-Jun-17,108.06,108.51,107.05,107.89,68608
1-Jun-17,106.96,108.11,106.18,107.79,57943
31-May-17,104.36,107.29,104.36,106.61,207043
30-May-17,102.96,106.36,102.52,104.71,69900
26-May-17,104.75,106.01,103.88,103.88,49382
25-May-17,105.01,105.85,103.81,104.86,62080
24-May-17,107.73,108.88,104.41,104.41,126641
23-May-17,106.65,109.59,105.70,107.90,284429
22-May-17,114.47,115.82,111.09,112.32,47978
19-May-17,114.68,116.49,113.69,114.28,62975
18-May-17,112.91,115.24,107.74,114.49,144718
17-May-17,114.81,114.81,111.64,112.05,58067
16-May-17,116.49,116.49,113.84,115.87,53020
15-May-17,115.20,117.30,114.55,116.65,45633
12-May-17,116.70,117.72,115.28,115.29,29103
11-May-17,114.70,117.76,114.05,116.85,83080
10-May-17,114.51,115.71,112.60,114.70,69548
9-May-17,113.21,115.35,113.21,114.31,79329
8-May-17,113.97,113.97,112.62,113.14,41659
5-May-17,114.20,115.20,113.17,114.80,55464
4-May-17,115.61,115.66,113.88,113.95,36127
3-May-17,117.49,117.49,114.01,115.73,70220
2-May-17,117.36,118.38,116.66,117.15,45832
1-May-17,117.14,118.20,116.23,117.26,87607
28-Apr-17,116.41,118.31,115.84,116.85,64681
27-Apr-17,117.00,118.79,115.99,116.50,67287
26-Apr-17,114.00,119.70,114.00,117.90,113838
25-Apr-17,116.32,116.32,113.83,114.21,53159
24-Apr-17,115.77,115.77,113.58,115.44,62474
21-Apr-17,116.98,116.98,115.38,115.57,15609
20-Apr-17,116.35,117.20,115.04,116.61,39090
19-Apr-17,116.74,117.11,115.29,116.20,68829
18-Apr-17,116.46,116.84,115.35,116.04,33011
17-Apr-17,117.17,118.55,116.12,117.23,38607
13-Apr-17,118.64,118.64,116.16,117.29,62727
12-Apr-17,117.94,119.20,117.10,118.28,81013
11-Apr-17,117.00,120.16,116.82,117.88,104461
10-Apr-17,117.12,119.49,116.40,117.24,79199
7-Apr-17,116.55,118.87,115.61,117.02,79151
6-Apr-17,115.54,120.60,115.54,116.64,68141
5-Apr-17,116.25,117.87,115.61,115.78,69464
4-Apr-17,116.09,118.65,115.20,115.94,39993
3-Apr-17,116.30,119.39,114.16,116.37,116111
31-Mar-17,119.71,120.00,115.86,116.62,122162
30-Mar-17,122.75,124.18,119.85,120.35,119484
29-Mar-17,119.82,124.52,119.82,123.39,120044
28-Mar-17,117.51,123.62,117.51,120.12,83165
27-Mar-17,115.97,119.88,115.97,118.02,48929
24-Mar-17,116.99,119.35,116.91,116.97,44040
23-Mar-17,115.00,121.30,114.59,116.80,160937
22-Mar-17,113.83,114.98,112.76,114.84,42660
21-Mar-17,113.45,114.99,112.66,113.28,72862
20-Mar-17,112.38,113.97,112.14,113.45,35508
17-Mar-17,113.04,113.72,111.11,112.02,78331
16-Mar-17,114.61,115.33,112.28,113.04,38662
15-Mar-17,112.12,115.98,112.12,114.63,81761
14-Mar-17,113.61,116.50,112.55,112.57,193228
13-Mar-17,114.02,117.29,113.40,114.46,199444
10-Mar-17,113.81,114.61,113.12,114.02,33281
9-Mar-17,112.89,114.42,112.84,113.19,37603
8-Mar-17,118.40,118.40,112.01,113.48,58957
7-Mar-17,111.85,112.58,110.40,111.72,123720
6-Mar-17,114.80,115.00,111.06,112.20,113422
3-Mar-17,115.17,117.99,112.60,115.20,138542
2-Mar-17,121.00,121.00,115.03,115.80,105764
1-Mar-17,121.14,122.31,118.74,120.99,110880
28-Feb-17,116.37,119.91,115.10,119.91,221214
27-Feb-17,115.97,118.11,115.74,116.93,38755
24-Feb-17,118.20,118.49,116.19,116.58,29485
23-Feb-17,115.51,119.49,114.61,118.94,88712
22-Feb-17,115.64,115.95,113.87,115.19,62887
21-Feb-17,116.24,117.00,113.94,115.21,80634
17-Feb-17,115.00,116.71,112.30,116.71,93612
16-Feb-17,113.70,115.27,113.16,115.20,125767
15-Feb-17,113.47,114.19,111.89,113.70,123011
14-Feb-17,110.00,113.12,109.30,113.01,147906
13-Feb-17,106.04,110.34,106.04,109.88,131125
10-Feb-17,105.50,108.03,101.50,106.29,348145
9-Feb-17,108.50,109.39,106.03,106.12,180086
8-Feb-17,105.83,108.50,104.99,108.30,243339
7-Feb-17,105.67,106.71,103.95,105.59,165425
6-Feb-17,107.08,107.17,105.23,106.12,52133
3-Feb-17,108.00,108.00,106.34,107.34,96128
2-Feb-17,104.75,107.25,104.35,107.12,100456
1-Feb-17,105.00,105.00,103.46,104.25,81397
31-Jan-17,100.44,104.56,100.24,104.49,133260
30-Jan-17,102.25,102.62,100.52,100.75,80068
27-Jan-17,100.49,102.94,100.49,102.45,71029
26-Jan-17,101.96,103.05,100.50,100.66,86010
25-Jan-17,99.78,102.24,99.78,102.13,101588
24-Jan-17,101.20,103.12,98.65,100.01,170634
23-Jan-17,99.55,101.51,98.85,100.99,163453
20-Jan-17,101.54,101.80,99.73,100.00,88057
19-Jan-17,104.60,104.60,101.11,101.34,114765
18-Jan-17,105.00,105.10,104.03,104.46,90933
17-Jan-17,104.68,105.00,103.17,104.92,107734
13-Jan-17,105.39,105.80,104.32,104.85,79624
12-Jan-17,104.90,105.67,104.26,105.28,92721
11-Jan-17,107.22,107.47,104.40,104.43,176763
10-Jan-17,106.88,108.11,106.52,107.22,118148
9-Jan-17,108.00,108.63,106.64,107.00,114523
6-Jan-17,108.60,108.64,107.04,107.34,106115
5-Jan-17,107.56,109.49,107.18,107.98,84321
4-Jan-17,107.33,109.15,107.18,108.21,108714
3-Jan-17,105.34,109.62,105.20,107.66,163133
30-Dec-16,104.96,105.62,103.69,105.27,96059
29-Dec-16,104.56,106.20,104.01,104.70,122730
28-Dec-16,106.11,106.74,104.44,105.21,107012
27-Dec-16,106.85,107.69,105.96,106.64,36101
23-Dec-16,104.79,107.48,104.69,107.31,78839
22-Dec-16,106.00,107.51,104.57,105.28,84355
21-Dec-16,105.90,106.06,104.07,105.62,131249
20-Dec-16,102.84,107.26,102.84,105.78,216556
19-Dec-16,104.94,107.88,104.94,105.88,85088
16-Dec-16,105.31,106.11,104.31,105.49,185273
15-Dec-16,107.56,107.64,104.50,105.18,161282
14-Dec-16,106.82,108.31,106.59,107.55,129282
13-Dec-16,106.24,107.57,105.86,107.37,156555
12-Dec-16,106.49,106.98,104.50,106.34,114640
9-Dec-16,105.61,107.50,105.51,106.49,128520
8-Dec-16,104.32,105.98,103.58,105.66,100928
7-Dec-16,104.59,105.70,103.62,104.95,139841
6-Dec-16,105.07,106.00,103.50,105.46,265305
5-Dec-16,103.51,105.49,103.04,105.12,126498
2-Dec-16,100.64,103.86,99.67,103.78,181520
1-Dec-16,102.15,104.94,99.81,100.31,402539
30-Nov-16,105.50,108.29,102.16,102.16,348790
29-Nov-16,106.48,106.79,105.00,105.44,198540
28-Nov-16,107.70,108.21,105.11,105.98,199308
25-Nov-16,106.52,108.43,105.12,107.50,173075
23-Nov-16,99.70,104.73,97.88,103.82,211892
22-Nov-16,101.94,102.21,98.62,100.50,137109
21-Nov-16,102.63,103.28,100.47,102.22,129733
18-Nov-16,104.57,104.57,101.55,102.57,170427
17-Nov-16,101.47,104.31,100.60,104.13,152357
16-Nov-16,102.77,104.11,101.22,101.59,138606
15-Nov-16,108.74,108.74,102.05,103.95,176121
14-Nov-16,105.39,108.07,104.71,107.57,201486
11-Nov-16,108.59,108.59,105.00,105.34,208120
10-Nov-16,110.80,113.76,108.45,108.53,226564
9-Nov-16,99.50,115.91,99.50,110.81,599979
8-Nov-16,97.00,101.05,97.00,98.34,385889
7-Nov-16,97.10,98.36,96.72,97.81,169555
4-Nov-16,92.90,97.32,92.90,96.68,372411
3-Nov-16,101.93,102.19,92.28,93.68,672721
2-Nov-16,102.65,103.35,99.94,101.05,197978
1-Nov-16,101.08,103.15,100.55,102.53,203198
31-Oct-16,101.58,102.87,101.02,101.51,241619
28-Oct-16,105.73,105.73,101.59,102.02,284964
27-Oct-16,104.28,108.39,103.61,106.06,386508
26-Oct-16,102.49,104.76,101.47,104.06,261278
25-Oct-16,103.38,103.66,101.50,103.24,109083
24-Oct-16,104.00,105.66,102.77,102.91,137021
21-Oct-16,103.75,105.03,102.47,103.97,195962
20-Oct-16,106.64,107.95,101.02,103.30,513604
19-Oct-16,104.52,107.07,104.52,105.99,329766
18-Oct-16,102.45,105.43,101.08,105.07,143338
17-Oct-16,104.58,105.57,102.26,102.29,222081
14-Oct-16,108.12,108.50,104.15,105.06,389028
13-Oct-16,106.00,108.53,105.38,107.48,159371
12-Oct-16,107.87,109.20,106.01,106.35,186212
11-Oct-16,109.55,110.04,107.53,107.71,114347
10-Oct-16,108.87,111.26,107.80,110.07,209462
7-Oct-16,108.00,109.64,106.88,108.20,242814
6-Oct-16,108.14,108.58,106.60,107.47,298122
5-Oct-16,110.00,110.52,107.75,108.02,353037
4-Oct-16,111.60,112.06,109.54,109.85,147323
3-Oct-16,110.16,111.59,110.08,111.00,187512
30-Sep-16,113.78,114.29,110.51,110.51,652741
29-Sep-16,115.81,116.23,113.31,113.39,172307
28-Sep-16,116.08,117.99,115.54,116.51,181886
27-Sep-16,116.52,118.50,115.31,116.62,191686
26-Sep-16,117.81,119.44,115.70,116.39,107260
23-Sep-16,116.19,118.16,115.81,117.75,107762
22-Sep-16,115.31,117.37,115.09,116.80,122311
21-Sep-16,116.31,117.24,114.00,115.61,147292
20-Sep-16,117.00,118.53,115.80,116.11,241436
19-Sep-16,117.77,119.00,116.63,116.90,195345
16-Sep-16,118.00,119.59,116.50,117.59,307773
15-Sep-16,120.96,121.00,118.05,118.18,306235
14-Sep-16,118.78,122.93,118.55,121.13,229781
13-Sep-16,119.29,120.00,117.73,119.15,278578
12-Sep-16,123.91,123.91,117.85,119.42,571183
9-Sep-16,125.70,125.87,124.34,124.36,158449
8-Sep-16,124.69,127.36,124.46,125.94,191005
7-Sep-16,125.58,125.74,124.16,125.63,142274
6-Sep-16,126.68,127.57,125.09,125.95,239723
2-Sep-16,127.52,127.72,125.72,126.37,151218
1-Sep-16,126.53,127.27,125.35,126.69,157044
31-Aug-16,126.91,127.59,124.61,126.60,320124
30-Aug-16,126.26,128.30,125.75,126.60,300726
29-Aug-16,128.49,128.92,126.58,126.64,162828
26-Aug-16,126.89,129.37,126.89,128.30,280238
25-Aug-16,129.00,130.74,126.44,126.78,254263
24-Aug-16,131.62,132.88,129.10,129.47,342123
23-Aug-16,133.47,134.69,130.78,131.60,221070
22-Aug-16,131.30,134.43,131.30,132.58,235392
19-Aug-16,134.58,135.63,132.44,134.46,259997
18-Aug-16,134.27,136.99,133.82,134.50,214806
17-Aug-16,135.56,136.66,134.85,134.85,208532
16-Aug-16,136.11,137.17,135.44,135.53,179329
15-Aug-16,134.52,137.38,134.52,136.55,226635
12-Aug-16,136.63,137.98,134.06,134.88,223998
11-Aug-16,133.28,136.27,131.10,135.94,404531
10-Aug-16,144.68,144.86,137.82,138.81,432338
9-Aug-16,143.50,145.92,143.00,145.20,240062
8-Aug-16,144.96,146.89,143.40,143.48,172932
5-Aug-16,143.86,146.88,143.06,145.01,192131
4-Aug-16,142.65,144.81,142.62,142.69,156993
3-Aug-16,140.32,143.22,140.10,143.18,250213
2-Aug-16,142.17,142.36,139.80,139.97,195584
1-Aug-16,140.22,142.98,140.01,142.24,225693
29-Jul-16,139.24,140.69,138.92,139.96,124784
28-Jul-16,138.66,140.26,137.14,139.94,319998
27-Jul-16,138.49,139.33,137.02,137.85,294630
26-Jul-16,145.32,146.11,135.17,138.23,1021340
25-Jul-16,145.52,146.64,144.48,144.94,230399
22-Jul-16,144.41,147.00,144.10,144.95,76240
21-Jul-16,146.00,148.00,144.84,144.86,196153
20-Jul-16,143.52,146.00,143.44,145.73,152435
19-Jul-16,142.75,144.08,140.96,142.89,209240
18-Jul-16,142.35,143.98,141.83,142.53,273751
15-Jul-16,143.25,144.06,141.75,141.77,284073
14-Jul-16,141.47,143.45,140.96,143.16,114368
13-Jul-16,142.80,143.75,140.19,140.21,480309
12-Jul-16,144.73,145.71,142.14,142.14,261751
11-Jul-16,142.60,145.78,142.19,143.80,334232
8-Jul-16,141.59,142.69,141.04,142.20,197518
7-Jul-16,145.25,146.35,139.24,140.88,554464
6-Jul-16,143.93,146.50,142.87,145.04,193518
5-Jul-16,146.00,146.34,143.42,145.01,204590
1-Jul-16,146.26,147.28,145.37,146.01,72313
30-Jun-16,144.60,146.21,142.64,145.60,212568
29-Jun-16,141.26,145.60,141.26,145.09,243144
28-Jun-16,138.68,141.27,137.76,141.02,255902
27-Jun-16,138.73,140.85,137.55,137.76,253265
24-Jun-16,141.70,142.72,139.05,139.05,260390
23-Jun-16,142.83,144.72,141.49,143.61,162557
22-Jun-16,142.80,144.10,139.05,141.79,239554
21-Jun-16,143.24,144.17,140.64,143.56,329248
20-Jun-16,142.82,145.08,141.77,142.17,224374
17-Jun-16,142.75,144.34,141.05,141.23,341683
16-Jun-16,143.79,145.13,142.52,142.97,320086
15-Jun-16,145.80,148.66,144.60,144.81,295462
14-Jun-16,144.70,146.40,142.70,146.29,269105
13-Jun-16,145.63,147.38,144.74,144.91,115101
10-Jun-16,148.25,149.40,145.00,146.00,530579
9-Jun-16,148.66,150.75,147.70,148.44,508214
8-Jun-16,147.42,149.78,146.58,149.54,260042
7-Jun-16,148.52,148.59,146.56,147.74,292161
6-Jun-16,147.70,149.85,147.00,148.90,201919
3-Jun-16,147.91,148.55,145.03,147.56,266324
