Date,Open,High,Low,Close,Volume
20-Oct-17,123.88,124.60,123.31,124.25,96117
19-Oct-17,123.12,123.55,122.68,123.46,104562
18-Oct-17,123.45,123.71,122.41,123.13,93962
17-Oct-17,122.57,123.94,122.57,123.34,102709
16-Oct-17,122.05,125.40,121.88,122.54,203457
13-Oct-17,124.19,124.82,121.59,121.65,123201
12-Oct-17,123.43,124.94,123.17,123.93,127527
11-Oct-17,122.41,123.59,121.67,123.44,117814
10-Oct-17,121.61,122.41,121.32,122.30,139066
9-Oct-17,122.71,122.71,120.92,121.17,74654
6-Oct-17,122.49,123.27,121.49,122.56,83166
5-Oct-17,122.72,122.85,121.92,122.69,92761
4-Oct-17,122.24,123.07,121.98,122.45,144078
3-Oct-17,122.97,123.41,121.80,122.23,111133
2-Oct-17,121.05,122.67,120.61,122.64,108896
29-Sep-17,120.66,122.37,120.26,120.89,130034
28-Sep-17,121.30,121.40,120.14,120.64,93611
27-Sep-17,120.30,121.37,119.48,121.21,182262
26-Sep-17,121.83,122.43,119.01,119.85,193882
25-Sep-17,121.34,122.34,120.86,121.55,161083
22-Sep-17,121.07,121.71,120.50,121.40,103707
21-Sep-17,121.26,121.48,120.33,121.21,157189
20-Sep-17,121.47,122.41,120.73,121.25,129174
19-Sep-17,121.91,122.18,120.70,121.90,118334
18-Sep-17,121.66,121.87,120.70,121.72,167651
15-Sep-17,122.91,123.35,121.21,121.58,220734
14-Sep-17,122.80,123.90,121.81,123.05,131035
13-Sep-17,122.24,123.03,121.56,122.83,131346
12-Sep-17,121.46,122.41,120.60,122.35,137198
11-Sep-17,120.42,122.38,119.98,121.55,145492
8-Sep-17,120.63,121.48,119.66,119.91,149056
7-Sep-17,121.85,122.88,120.13,120.62,248158
6-Sep-17,121.77,122.25,120.49,121.66,140906
5-Sep-17,122.31,122.64,120.75,121.15,140130
1-Sep-17,124.00,124.00,121.92,122.57,79447
31-Aug-17,120.90,123.89,119.41,123.78,165647
30-Aug-17,121.49,121.75,120.29,120.64,164029
29-Aug-17,121.69,122.00,121.50,121.84,78900
28-Aug-17,120.50,121.82,118.07,121.76,113688
25-Aug-17,120.00,121.20,119.65,119.97,104314
24-Aug-17,119.38,120.08,118.82,119.94,53389
23-Aug-17,119.42,120.48,118.43,119.07,98434
22-Aug-17,118.44,119.90,118.00,119.43,108110
21-Aug-17,118.20,119.10,117.42,118.49,82310
18-Aug-17,118.28,118.73,117.44,117.90,215526
17-Aug-17,118.26,119.14,117.69,117.96,109539
16-Aug-17,117.25,118.82,117.02,118.30,104195
15-Aug-17,117.30,118.15,116.79,117.03,90983
14-Aug-17,118.56,119.77,116.11,117.47,100695
11-Aug-17,116.94,118.47,116.79,117.54,135741
10-Aug-17,113.88,117.98,113.29,116.75,281385
9-Aug-17,113.78,114.65,113.02,114.44,259927
8-Aug-17,118.02,121.94,112.33,113.59,395918
7-Aug-17,115.00,117.06,114.92,116.23,146798
4-Aug-17,114.95,115.49,114.23,115.34,151438
3-Aug-17,115.65,117.26,114.64,115.40,215454
2-Aug-17,116.31,116.70,115.03,115.42,179764
1-Aug-17,116.36,116.50,114.76,115.78,190852
31-Jul-17,116.72,117.36,115.53,115.91,136353
28-Jul-17,116.31,116.77,115.14,116.50,60286
27-Jul-17,117.61,117.61,115.72,116.33,81429
26-Jul-17,118.12,118.46,116.91,117.23,102938
25-Jul-17,118.73,118.73,116.50,118.21,195073
24-Jul-17,118.22,118.79,117.55,118.13,233154
21-Jul-17,116.95,118.79,116.47,117.98,125305
20-Jul-17,117.36,118.16,115.55,116.93,84156
19-Jul-17,117.78,118.40,116.78,116.95,144739
18-Jul-17,116.10,117.65,116.04,117.24,203150
17-Jul-17,115.75,116.59,114.62,116.08,138611
14-Jul-17,115.82,116.28,115.12,115.25,88413
13-Jul-17,115.69,116.07,114.21,115.66,107178
12-Jul-17,117.48,117.71,116.06,116.27,132749
11-Jul-17,116.40,117.29,115.91,116.89,132678
10-Jul-17,117.61,117.61,115.54,116.40,114732
