Date,Open,High,Low,Close,Volume
20-Oct-17,14.94,14.99,14.72,14.90,13292865
19-Oct-17,14.59,14.97,14.47,14.93,14599142
18-Oct-17,14.80,14.94,14.40,14.62,17283192
17-Oct-17,14.75,14.97,14.58,14.74,14505674
16-Oct-17,15.12,15.15,14.53,14.71,22592517
13-Oct-17,15.18,15.22,14.30,14.98,27439869
12-Oct-17,15.80,15.82,15.03,15.15,20246363
11-Oct-17,15.93,15.95,15.83,15.88,884808
10-Oct-17,15.81,15.95,15.64,15.89,12372657
9-Oct-17,16.00,16.15,15.75,15.77,10754503
6-Oct-17,15.68,15.97,15.67,15.94,19658567
5-Oct-17,16.10,16.15,15.58,15.68,37585420
4-Oct-17,16.33,16.74,16.05,16.08,79187782
3-Oct-17,18.88,19.16,18.14,18.82,22565501
2-Oct-17,17.65,18.77,17.65,18.47,24053090
29-Sep-17,17.15,17.75,17.15,17.60,12963884
28-Sep-17,17.73,17.86,17.00,17.16,20799539
27-Sep-17,17.32,17.75,17.23,17.62,13702351
26-Sep-17,17.31,17.42,17.16,17.26,8254793
25-Sep-17,17.23,17.42,17.07,17.17,9897275
22-Sep-17,17.21,17.32,17.05,17.19,8986279
21-Sep-17,17.14,17.33,16.91,17.15,15443089
20-Sep-17,17.25,17.54,16.96,17.11,16367070
19-Sep-17,17.09,17.33,17.02,17.19,20468646
18-Sep-17,18.10,18.14,16.81,16.99,33252841
15-Sep-17,18.48,18.52,17.81,18.10,20967151
14-Sep-17,18.97,19.22,18.13,18.36,18316085
13-Sep-17,19.15,19.55,18.73,18.86,24440533
12-Sep-17,19.95,20.10,18.72,19.33,59705100
11-Sep-17,17.88,19.24,17.33,18.50,98546039
8-Sep-17,15.42,15.56,15.26,15.50,14843067
7-Sep-17,15.62,15.85,15.44,15.47,13320567
6-Sep-17,15.39,15.58,15.22,15.52,13418644
5-Sep-17,15.93,16.11,15.32,15.41,21149618
1-Sep-17,15.94,16.16,15.75,15.90,20045149
31-Aug-17,15.74,16.28,15.65,15.86,32677800
30-Aug-17,15.82,15.91,15.32,15.46,19484318
29-Aug-17,15.75,15.83,15.45,15.77,15517446
28-Aug-17,16.25,16.31,15.72,15.93,17771092
25-Aug-17,16.31,16.56,16.17,16.21,11590321
24-Aug-17,16.03,16.63,15.85,16.36,23111099
23-Aug-17,17.01,17.02,16.45,16.49,19962217
22-Aug-17,16.94,17.47,16.73,17.01,14915549
21-Aug-17,17.22,17.31,16.89,17.04,11713750
18-Aug-17,17.14,17.53,17.10,17.30,9162890
17-Aug-17,17.54,17.75,17.08,17.10,12988997
16-Aug-17,17.95,18.01,17.22,17.49,24940389
15-Aug-17,17.21,18.01,17.07,17.97,22655047
14-Aug-17,17.52,17.78,17.06,17.16,20226495
11-Aug-17,17.21,17.45,16.81,17.30,25100576
10-Aug-17,17.75,17.94,17.12,17.19,41575694
9-Aug-17,18.49,18.49,17.47,17.50,60133256
8-Aug-17,19.14,19.42,18.21,18.29,51308881
7-Aug-17,19.97,20.14,18.50,18.59,85169663
4-Aug-17,22.68,22.75,20.41,20.60,93317085
3-Aug-17,25.75,26.37,23.33,23.75,106521764
2-Aug-17,31.56,31.58,30.80,31.25,9178193
1-Aug-17,32.26,32.33,31.68,31.86,6224463
31-Jul-17,-,-,32.00,32.17,4863738
28-Jul-17,32.37,32.44,32.09,32.34,4046745
27-Jul-17,33.12,33.24,32.14,32.45,7325886
26-Jul-17,32.78,33.18,32.58,33.04,4194510
25-Jul-17,32.51,32.91,32.50,32.76,4028676
24-Jul-17,32.44,32.78,32.31,32.47,4106220
21-Jul-17,32.40,32.65,32.23,32.64,3251371
20-Jul-17,32.12,32.74,32.03,32.43,5753562
19-Jul-17,32.00,32.26,31.68,31.92,3992564
18-Jul-17,31.90,32.27,31.51,31.95,5314284
17-Jul-17,31.30,32.08,31.01,31.83,7793682
14-Jul-17,33.19,33.39,31.57,31.90,15950140
13-Jul-17,32.68,33.82,32.18,33.19,20802520
12-Jul-17,31.20,32.13,30.94,32.09,10417087
11-Jul-17,31.07,31.36,30.80,30.97,5134670
10-Jul-17,31.49,31.59,31.03,31.17,7056170
7-Jul-17,32.00,32.05,31.15,31.54,5054815
6-Jul-17,32.43,32.50,31.70,31.77,5289471
5-Jul-17,33.35,33.45,32.28,32.71,6079440
3-Jul-17,33.24,33.57,33.20,33.31,2116841
30-Jun-17,32.85,33.41,32.53,33.22,5458656
29-Jun-17,32.99,33.53,32.77,32.83,6595458
28-Jun-17,32.31,33.08,32.30,32.81,5143640
27-Jun-17,33.09,33.09,32.10,32.16,5244417
26-Jun-17,32.81,33.41,32.77,32.95,6896511
23-Jun-17,32.55,32.80,32.30,32.61,5603626
22-Jun-17,31.27,32.57,31.21,32.52,11002452
21-Jun-17,31.48,31.60,30.90,31.05,7337301
20-Jun-17,31.17,31.56,30.96,31.37,4563739
19-Jun-17,31.04,31.44,30.87,31.33,5539368
16-Jun-17,30.69,30.93,30.03,30.92,6067544
15-Jun-17,31.02,31.83,30.36,30.43,11461356
14-Jun-17,30.60,30.70,30.36,30.67,4835086
13-Jun-17,30.67,30.86,30.26,30.52,5052650
12-Jun-17,30.28,30.92,30.23,30.44,8401472
9-Jun-17,29.86,30.32,29.64,30.22,11414906
8-Jun-17,28.91,29.68,28.81,29.53,11231433
7-Jun-17,28.90,29.43,28.62,28.78,10149625
6-Jun-17,28.77,28.86,28.32,28.75,6430830
5-Jun-17,28.94,29.31,28.44,28.99,7427795
2-Jun-17,29.41,29.66,28.85,29.03,8300515
1-Jun-17,27.86,29.22,27.86,29.01,13393282
31-May-17,28.36,28.49,27.60,27.86,15180705
30-May-17,28.55,28.72,27.76,27.82,10641124
26-May-17,28.70,28.71,28.25,28.50,6215511
25-May-17,28.84,29.05,28.52,28.71,8204213
24-May-17,28.57,29.15,28.06,28.98,14427470
23-May-17,29.26,29.29,28.47,28.76,14913082
22-May-17,29.92,30.06,29.36,29.44,6178960
19-May-17,29.97,30.32,29.77,29.88,6837844
18-May-17,30.58,30.59,29.46,29.67,12774785
17-May-17,31.54,31.65,30.27,30.30,9560559
16-May-17,32.41,32.45,31.78,31.78,6830463
15-May-17,31.93,32.47,31.85,32.31,6670396
12-May-17,32.17,32.48,31.72,31.89,7685821
11-May-17,30.64,32.32,30.20,32.00,15682173
10-May-17,31.40,31.46,30.25,31.36,11220885
9-May-17,31.03,31.53,30.75,31.15,7246065
8-May-17,31.13,31.31,30.75,30.79,3930793
5-May-17,31.04,31.16,30.71,31.14,5403345
4-May-17,30.87,31.15,30.68,30.87,6093435
3-May-17,31.80,31.89,30.66,30.72,11453632
2-May-17,31.77,32.33,31.32,32.11,5110206
1-May-17,31.51,31.70,31.28,31.57,4723531
28-Apr-17,31.94,31.94,31.30,31.58,5029186
27-Apr-17,31.52,31.88,31.28,31.73,3960843
26-Apr-17,30.80,31.66,30.80,31.28,7718236
25-Apr-17,31.31,31.40,30.22,30.76,17095275
24-Apr-17,31.41,31.92,31.40,31.60,6457256
21-Apr-17,30.83,31.22,30.80,31.13,6457490
20-Apr-17,30.76,30.95,30.57,30.76,5850677
19-Apr-17,31.10,31.18,30.64,30.70,5563209
18-Apr-17,31.88,31.94,30.86,30.99,9610352
17-Apr-17,32.19,32.25,31.96,32.15,2386784
13-Apr-17,32.05,32.24,31.93,32.06,3305277
12-Apr-17,32.00,32.18,31.90,32.12,4451153
11-Apr-17,32.69,32.69,32.11,32.14,4089044
10-Apr-17,32.51,32.79,32.36,32.51,5158692
7-Apr-17,32.27,32.94,31.97,32.31,5568395
6-Apr-17,32.00,32.38,31.91,32.35,5702105
5-Apr-17,32.01,32.32,31.90,31.93,4571990
4-Apr-17,32.77,32.80,31.95,32.00,6617605
3-Apr-17,32.17,32.38,31.98,32.19,4108126
31-Mar-17,32.72,32.84,31.98,32.09,10839891
30-Mar-17,33.01,33.05,32.63,32.71,5174259
29-Mar-17,32.95,33.24,32.84,33.05,4336780
28-Mar-17,33.00,33.20,32.79,32.96,4598151
27-Mar-17,32.36,33.19,32.26,33.03,5676623
24-Mar-17,32.71,32.84,32.34,32.76,4130431
23-Mar-17,32.71,33.25,32.65,32.73,4851674
22-Mar-17,32.60,32.68,32.16,32.61,5526316
21-Mar-17,33.56,33.68,32.36,32.53,9261827
20-Mar-17,33.69,33.75,33.39,33.59,4477392
17-Mar-17,33.97,34.09,33.64,33.64,4486627
16-Mar-17,34.19,34.38,33.65,33.93,4717735
15-Mar-17,33.84,34.52,33.80,34.34,9118249
14-Mar-17,33.13,33.74,33.07,33.65,5186861
13-Mar-17,33.52,33.54,32.92,33.30,3987289
10-Mar-17,33.35,33.54,33.07,33.39,4234261
9-Mar-17,32.96,33.34,32.78,32.96,7186411
8-Mar-17,33.45,33.55,32.70,32.83,7744681
7-Mar-17,33.01,33.32,32.55,33.18,9298378
6-Mar-17,34.43,34.49,33.31,33.39,11790111
3-Mar-17,34.97,35.05,34.47,34.70,6860084
2-Mar-17,34.75,35.01,34.66,34.80,5054267
1-Mar-17,35.51,35.64,34.92,35.01,7782316
28-Feb-17,35.25,35.48,34.86,35.02,6448687
27-Feb-17,35.40,35.88,35.22,35.75,5735104
24-Feb-17,35.80,35.91,35.26,35.38,6115394
23-Feb-17,35.82,36.20,35.67,35.82,6348834
22-Feb-17,36.50,36.69,35.96,35.97,6933471
21-Feb-17,37.47,37.94,36.10,36.65,25866456
17-Feb-17,35.82,36.01,35.17,35.20,7883790
16-Feb-17,36.40,36.59,35.52,35.81,14532756
15-Feb-17,34.94,37.02,34.92,36.77,21670993
14-Feb-17,33.83,35.08,33.65,34.90,16688054
13-Feb-17,33.43,34.95,33.25,34.00,22869936
10-Feb-17,32.00,32.50,31.92,32.19,13823830
9-Feb-17,32.55,32.85,32.18,32.25,9257568
8-Feb-17,32.20,32.96,31.90,32.38,15233646
7-Feb-17,33.50,33.52,32.08,32.19,35906738
6-Feb-17,34.20,34.49,34.01,34.35,5628706
3-Feb-17,34.48,34.58,34.01,34.44,7294088
2-Feb-17,34.30,34.53,33.95,34.19,10763707
1-Feb-17,34.20,34.76,33.71,34.69,17253392
31-Jan-17,32.35,33.69,32.19,33.43,36904037
30-Jan-17,34.48,34.99,34.20,34.52,7659746
27-Jan-17,34.05,34.77,34.01,34.59,10950907
26-Jan-17,33.90,34.21,33.58,33.93,10699134
25-Jan-17,32.68,33.99,32.62,33.68,12863681
24-Jan-17,32.79,32.94,32.34,32.60,10457337
23-Jan-17,33.08,33.10,32.11,32.71,14134967
20-Jan-17,33.42,33.57,33.16,33.23,8444310
19-Jan-17,33.98,34.09,33.46,33.47,7498760
18-Jan-17,33.90,34.20,33.73,34.10,10017866
17-Jan-17,34.05,34.12,33.62,33.75,9978935
13-Jan-17,34.25,34.47,33.86,33.97,12592066
12-Jan-17,34.27,34.69,33.93,33.94,10755474
11-Jan-17,35.16,35.49,33.56,34.28,15639638
10-Jan-17,35.05,35.26,34.60,35.20,11956915
9-Jan-17,35.15,35.44,34.93,35.06,11741870
6-Jan-17,36.90,36.98,35.00,35.10,33846514
5-Jan-17,37.96,38.15,37.29,37.96,4983709
4-Jan-17,38.06,38.31,37.58,37.74,6624672
3-Jan-17,36.69,37.48,36.45,37.48,6946245
30-Dec-16,36.00,36.43,35.92,36.25,4945314
29-Dec-16,35.85,36.26,35.81,36.08,3618055
28-Dec-16,36.32,36.46,35.85,35.93,4658676
27-Dec-16,36.64,36.82,36.26,36.34,4335138
23-Dec-16,36.91,36.95,36.46,36.82,2814381
22-Dec-16,36.49,37.39,36.35,36.91,5832829
21-Dec-16,36.25,36.48,36.03,36.37,3549025
20-Dec-16,36.63,36.78,36.03,36.25,4664224
19-Dec-16,36.48,36.87,36.40,36.57,5114182
16-Dec-16,36.96,36.98,36.30,36.51,5486358
15-Dec-16,36.78,37.56,36.42,36.73,6696413
14-Dec-16,37.30,37.51,36.54,37.00,10609123
13-Dec-16,37.58,37.79,37.39,37.66,6750199
12-Dec-16,36.37,37.69,36.36,37.25,8814291
9-Dec-16,36.22,36.86,36.14,36.30,7696056
8-Dec-16,35.40,36.48,35.22,35.91,11320862
7-Dec-16,35.29,35.32,34.62,35.27,10408219
6-Dec-16,35.33,35.95,34.57,35.03,30830747
5-Dec-16,36.65,37.18,36.40,37.04,6751513
2-Dec-16,36.70,37.11,36.41,36.53,6924116
1-Dec-16,37.40,37.68,36.56,36.57,6557776
30-Nov-16,37.79,38.38,37.40,37.70,10812625
29-Nov-16,38.17,38.49,37.71,37.86,5516929
28-Nov-16,38.16,38.40,38.04,38.15,4883086
25-Nov-16,38.20,38.48,38.01,38.21,2320788
23-Nov-16,37.48,38.11,37.12,38.11,6568672
22-Nov-16,38.50,38.69,37.56,37.83,10562786
21-Nov-16,38.69,38.89,38.46,38.80,6112312
18-Nov-16,39.00,39.08,38.50,38.56,6477070
17-Nov-16,38.26,39.41,38.01,38.89,9717902
16-Nov-16,37.78,38.49,37.40,38.07,18396998
15-Nov-16,39.48,39.50,37.25,37.60,27149257
14-Nov-16,40.22,41.19,39.92,41.03,11175944
11-Nov-16,40.38,40.80,39.59,40.65,5830216
10-Nov-16,40.54,41.63,40.02,40.06,12173791
9-Nov-16,42.49,42.90,39.68,39.97,30730084
8-Nov-16,39.45,39.65,38.60,38.77,14442248
7-Nov-16,40.50,40.95,40.11,40.78,8565105
4-Nov-16,39.76,40.78,39.20,40.24,16322657
3-Nov-16,43.34,43.46,37.82,39.20,40938034
2-Nov-16,43.15,44.12,43.08,43.33,7977500
1-Nov-16,42.70,43.55,42.55,43.12,7778008
31-Oct-16,41.94,42.76,41.75,42.74,27345524
28-Oct-16,43.00,43.10,42.11,42.32,6195074
27-Oct-16,43.73,43.81,43.03,43.15,4736799
26-Oct-16,43.76,44.26,43.27,43.36,3594206
25-Oct-16,43.34,44.42,43.29,43.85,12979309
24-Oct-16,43.71,44.15,43.34,43.50,6470676
21-Oct-16,44.08,44.30,43.55,44.00,5860721
20-Oct-16,43.29,44.32,43.13,44.21,9170052
19-Oct-16,43.22,43.47,42.83,43.34,7221339
18-Oct-16,42.01,43.42,41.92,43.26,11232837
17-Oct-16,42.98,43.13,41.67,41.79,11290701
14-Oct-16,44.49,44.49,42.95,42.96,7360771
13-Oct-16,43.82,44.64,43.80,44.28,6948156
12-Oct-16,44.51,44.76,44.00,44.12,4586676
11-Oct-16,45.06,45.14,44.23,44.56,6089256
10-Oct-16,45.76,45.85,44.89,45.04,6864572
7-Oct-16,45.54,45.71,44.96,45.06,4526179
6-Oct-16,45.30,45.60,44.92,45.40,5953975
5-Oct-16,45.79,45.95,44.60,45.19,9511822
4-Oct-16,46.01,46.09,44.98,45.26,7439252
