Date,Open,High,Low,Close,Volume
20-Oct-17,242.80,243.98,242.20,243.06,126153
19-Oct-17,240.09,243.24,239.56,241.99,122184
18-Oct-17,241.59,243.11,240.55,240.64,163971
17-Oct-17,239.42,241.22,238.75,240.76,171112
16-Oct-17,238.70,241.95,238.00,239.03,176734
13-Oct-17,239.60,241.75,238.52,238.71,242084
12-Oct-17,240.01,240.55,238.72,240.03,241716
11-Oct-17,239.98,240.80,239.35,240.00,7276
10-Oct-17,243.64,244.30,239.00,240.42,182603
9-Oct-17,246.37,246.37,243.30,243.62,147926
6-Oct-17,245.66,248.68,245.64,246.05,341774
5-Oct-17,245.98,246.83,243.78,246.42,147087
4-Oct-17,244.85,246.54,243.86,246.08,225742
3-Oct-17,245.70,246.67,241.75,244.25,227639
2-Oct-17,241.88,245.86,241.48,244.72,316822
29-Sep-17,241.41,242.61,240.29,241.97,206797
28-Sep-17,241.24,241.78,239.79,240.49,214828
27-Sep-17,242.40,242.76,238.81,241.23,213532
26-Sep-17,242.56,243.85,240.14,240.78,244951
25-Sep-17,243.27,243.54,240.25,242.56,330731
22-Sep-17,236.87,242.14,235.98,241.77,312526
21-Sep-17,236.17,237.51,233.56,237.06,226922
20-Sep-17,238.00,238.76,234.26,236.86,279904
19-Sep-17,240.60,240.60,237.50,239.75,248591
18-Sep-17,236.51,240.93,235.81,239.73,261022
15-Sep-17,234.44,235.74,233.52,235.23,349678
14-Sep-17,233.97,235.95,233.15,234.30,238298
13-Sep-17,235.29,235.36,232.03,233.97,247861
12-Sep-17,234.79,235.71,232.99,235.53,201060
11-Sep-17,236.02,236.02,232.06,233.85,476637
8-Sep-17,227.94,235.18,226.62,232.75,539406
7-Sep-17,225.92,228.83,224.27,227.14,364064
6-Sep-17,212.19,227.92,209.51,225.41,778932
5-Sep-17,210.30,212.90,209.21,210.94,207417
1-Sep-17,211.75,213.00,209.86,210.51,149928
31-Aug-17,207.99,211.90,207.14,211.75,296290
30-Aug-17,205.58,208.16,203.70,207.58,419288
29-Aug-17,206.40,207.04,203.96,205.61,442607
28-Aug-17,207.01,208.28,205.02,207.38,557467
25-Aug-17,208.39,208.70,205.58,207.01,123039
24-Aug-17,207.97,209.26,206.60,207.67,137649
23-Aug-17,211.94,213.62,207.53,207.63,288360
22-Aug-17,211.76,213.95,210.98,213.00,165860
21-Aug-17,210.40,213.40,209.28,211.77,167742
18-Aug-17,211.32,213.06,209.24,210.66,174889
17-Aug-17,214.35,217.38,211.58,211.90,272057
16-Aug-17,209.47,214.89,209.38,214.79,318326
15-Aug-17,209.14,209.96,207.65,208.90,122257
14-Aug-17,208.68,209.35,207.32,208.89,114467
11-Aug-17,203.26,207.30,203.13,205.34,202230
10-Aug-17,210.10,210.92,203.62,204.00,252541
9-Aug-17,212.51,214.09,210.04,210.60,173879
8-Aug-17,214.78,214.92,211.03,213.00,189995
7-Aug-17,214.16,216.77,212.08,214.60,271228
4-Aug-17,217.97,217.97,210.80,214.26,386731
3-Aug-17,201.99,217.95,197.72,216.88,677118
2-Aug-17,204.42,207.09,201.02,203.01,419480
1-Aug-17,208.41,213.53,203.64,204.42,310951
31-Jul-17,-,-,205.95,207.22,297192
28-Jul-17,209.54,211.69,208.18,210.10,211587
27-Jul-17,212.62,212.76,208.56,210.42,229466
26-Jul-17,215.69,215.69,211.00,212.03,186290
25-Jul-17,214.69,216.36,213.61,215.59,258198
24-Jul-17,211.12,214.53,210.64,214.23,126339
21-Jul-17,212.72,214.25,210.24,211.17,119227
20-Jul-17,213.04,213.40,211.53,212.57,86812
19-Jul-17,211.30,212.83,210.94,211.89,104793
18-Jul-17,210.46,211.50,209.83,210.77,106251
17-Jul-17,211.53,212.17,209.64,211.01,292105
14-Jul-17,208.97,212.62,208.70,211.09,161971
13-Jul-17,209.20,210.18,206.94,209.23,129188
12-Jul-17,208.10,211.08,208.10,208.71,175446
11-Jul-17,209.49,210.02,207.10,207.58,202411
10-Jul-17,210.64,210.87,208.21,208.48,228186
7-Jul-17,205.76,211.75,205.41,211.40,195674
6-Jul-17,206.12,209.29,204.18,204.74,262342
5-Jul-17,206.71,209.24,206.71,207.79,265615
3-Jul-17,208.10,209.79,205.89,206.93,170563
30-Jun-17,206.81,209.40,204.49,207.76,187617
29-Jun-17,207.38,207.66,204.33,205.75,196653
28-Jun-17,207.36,208.22,205.83,207.32,165958
27-Jun-17,207.75,208.22,205.40,205.73,158366
26-Jun-17,206.05,208.10,206.05,207.47,233220
23-Jun-17,205.67,209.98,204.00,206.11,495430
22-Jun-17,203.42,205.61,202.96,204.35,186736
21-Jun-17,203.65,204.82,202.03,203.45,168006
20-Jun-17,203.06,204.87,203.00,203.52,156385
19-Jun-17,201.49,203.73,199.45,203.41,143397
16-Jun-17,199.40,202.22,199.00,200.83,227855
15-Jun-17,200.83,200.92,198.77,199.86,290380
14-Jun-17,201.08,204.08,199.89,201.44,161378
13-Jun-17,199.83,202.04,199.83,201.91,116046
12-Jun-17,200.16,200.87,195.36,200.30,203781
9-Jun-17,204.28,204.87,199.42,200.00,252170
8-Jun-17,206.69,206.69,203.41,204.01,178881
7-Jun-17,204.60,206.60,203.64,206.07,199507
