Date,Open,High,Low,Close,Volume
20-Oct-17,23.83,24.96,23.70,23.70,5294
19-Oct-17,23.93,24.21,23.93,24.21,5657
18-Oct-17,24.23,24.51,23.30,23.30,6848
17-Oct-17,23.89,24.26,23.72,24.09,7278
16-Oct-17,24.30,24.30,23.97,24.08,8265
13-Oct-17,24.45,24.54,24.23,24.54,2916
12-Oct-17,24.51,24.71,24.51,24.71,1737
11-Oct-17,24.61,24.69,24.27,24.49,9600
10-Oct-17,24.75,24.85,24.47,24.49,12783
9-Oct-17,24.41,24.41,24.13,24.13,1485
6-Oct-17,24.87,24.95,24.61,24.64,8886
5-Oct-17,25.68,25.68,25.05,25.08,33376
4-Oct-17,25.07,25.72,25.07,25.14,29648
3-Oct-17,24.11,24.18,24.08,24.13,2949
2-Oct-17,24.18,24.35,23.99,24.00,1482
29-Sep-17,23.96,24.04,23.80,23.81,2707
28-Sep-17,24.16,24.16,24.03,24.03,1675
27-Sep-17,23.86,23.90,23.66,23.74,5332
26-Sep-17,23.70,23.72,23.45,23.71,1250
25-Sep-17,23.95,24.03,23.73,23.73,4280
22-Sep-17,24.20,24.20,24.00,24.00,8509
21-Sep-17,24.10,24.27,23.70,23.98,11458
20-Sep-17,24.30,24.46,23.80,23.85,20884
19-Sep-17,24.50,24.69,24.12,24.12,34375
18-Sep-17,24.31,24.31,23.72,23.93,25146
15-Sep-17,24.78,24.78,24.15,24.17,11436
14-Sep-17,24.53,25.18,23.70,24.45,27558
13-Sep-17,23.30,23.51,23.05,23.10,3255
12-Sep-17,23.36,23.36,23.00,23.02,4129
11-Sep-17,23.55,23.56,23.25,23.45,1550
8-Sep-17,23.48,23.48,23.21,23.21,330
7-Sep-17,23.31,23.41,23.31,23.40,755
6-Sep-17,23.42,23.51,23.20,23.20,3001
5-Sep-17,22.69,23.23,22.69,23.23,750
1-Sep-17,22.64,22.78,22.64,22.78,514
31-Aug-17,22.58,22.93,22.47,22.93,1276
30-Aug-17,22.39,22.79,22.39,22.61,1300
29-Aug-17,22.36,22.56,22.30,22.30,800
28-Aug-17,22.43,22.57,22.21,22.57,1176
25-Aug-17,22.39,22.40,22.25,22.40,900
24-Aug-17,22.09,22.49,22.09,22.23,1200
23-Aug-17,22.09,22.51,22.04,22.51,2557
22-Aug-17,21.02,21.67,21.02,21.67,2175
21-Aug-17,-,-,-,20.50,0
18-Aug-17,20.72,20.72,20.50,20.50,1605
17-Aug-17,19.24,19.24,19.24,19.24,100
16-Aug-17,20.90,21.12,20.87,20.87,925
15-Aug-17,20.95,21.33,20.85,20.90,1300
14-Aug-17,-,-,-,20.44,0
11-Aug-17,20.56,20.56,20.44,20.44,309
10-Aug-17,20.82,20.83,20.35,20.51,5584
