Date,Open,High,Low,Close,Volume
20-Oct-17,115.70,118.58,115.34,116.40,581052
19-Oct-17,113.74,115.74,112.83,115.51,414849
18-Oct-17,117.80,118.80,112.92,113.60,1005893
17-Oct-17,119.67,121.58,118.43,118.53,461200
16-Oct-17,124.00,124.71,120.12,120.31,489755
13-Oct-17,121.94,125.78,121.10,123.00,774323
12-Oct-17,119.87,121.39,118.09,121.23,468022
11-Oct-17,117.90,119.24,116.70,117.91,392308
10-Oct-17,119.27,120.20,117.26,118.22,405605
9-Oct-17,119.51,120.63,118.95,119.11,312226
6-Oct-17,119.69,121.24,119.01,119.83,611575
5-Oct-17,121.30,123.00,118.73,120.00,580597
4-Oct-17,124.69,125.15,121.17,121.82,587628
3-Oct-17,126.91,128.67,123.60,124.40,583427
2-Oct-17,128.14,129.10,125.06,126.82,610808
29-Sep-17,123.66,129.64,123.26,129.10,754930
28-Sep-17,120.10,124.96,119.73,123.71,463713
27-Sep-17,119.32,121.50,118.92,120.10,422703
26-Sep-17,118.66,120.45,118.29,118.40,395161
25-Sep-17,118.63,119.48,117.03,118.56,566636
22-Sep-17,118.60,119.60,116.61,119.04,444133
21-Sep-17,121.28,121.50,118.51,118.67,346714
20-Sep-17,118.57,123.63,117.92,121.62,977112
19-Sep-17,118.91,120.23,115.20,118.74,603303
18-Sep-17,117.11,120.00,115.91,118.44,731026
15-Sep-17,116.33,117.98,114.55,117.16,1253722
14-Sep-17,115.13,118.24,114.49,115.24,655148
13-Sep-17,118.50,118.70,115.31,115.63,1095510
12-Sep-17,116.13,118.68,114.25,118.22,1072151
11-Sep-17,120.60,120.74,116.65,118.68,791530
8-Sep-17,122.72,123.38,114.25,120.32,1936161
7-Sep-17,129.56,130.00,122.00,123.93,1041040
6-Sep-17,135.28,136.45,129.07,129.77,1137462
5-Sep-17,132.66,135.00,131.70,134.33,1002140
1-Sep-17,129.94,135.11,126.77,133.60,923965
31-Aug-17,126.98,130.72,126.49,129.14,657586
30-Aug-17,123.84,126.98,122.35,126.58,770054
29-Aug-17,123.45,126.35,123.45,124.23,721169
28-Aug-17,127.48,127.86,123.39,125.34,598820
25-Aug-17,125.81,127.40,123.59,126.37,606585
24-Aug-17,121.90,127.28,120.08,125.85,1013684
23-Aug-17,119.99,121.45,119.28,120.40,557911
22-Aug-17,119.76,121.87,117.10,120.62,1237881
21-Aug-17,113.15,119.46,113.12,118.86,1393334
18-Aug-17,108.00,115.72,107.50,113.86,1643726
17-Aug-17,113.18,115.80,106.64,109.05,2411516
16-Aug-17,114.10,114.48,111.24,112.99,657306
15-Aug-17,113.00,114.82,111.05,114.00,662871
14-Aug-17,112.31,115.00,112.00,113.25,891059
11-Aug-17,111.70,114.45,109.45,111.85,800674
10-Aug-17,115.09,116.00,108.21,110.89,1386080
9-Aug-17,123.19,123.74,110.80,116.18,2827031
8-Aug-17,127.65,127.71,122.96,124.31,948009
7-Aug-17,127.52,129.53,125.60,127.30,561355
4-Aug-17,124.79,129.94,123.62,128.59,711508
3-Aug-17,125.19,127.18,124.04,124.56,895298
2-Aug-17,123.74,125.47,121.51,124.41,698148
1-Aug-17,128.37,129.28,121.31,123.51,1035823
31-Jul-17,133.77,134.12,127.32,127.66,840463
28-Jul-17,126.93,134.64,126.93,134.15,691737
27-Jul-17,126.88,133.66,126.20,126.70,991443
26-Jul-17,128.95,131.67,126.61,130.06,356020
25-Jul-17,131.90,131.98,125.85,128.95,634227
24-Jul-17,131.60,132.20,128.06,129.87,912113
21-Jul-17,129.37,137.25,126.83,131.97,1697801
20-Jul-17,125.50,130.34,123.10,129.02,1285941
19-Jul-17,120.48,124.15,118.49,124.02,1500617
18-Jul-17,120.60,120.99,115.00,118.82,1341874
17-Jul-17,127.00,128.01,120.51,120.81,1247071
14-Jul-17,126.62,131.46,125.71,126.17,1413363
13-Jul-17,139.47,139.47,119.13,129.13,4077539
12-Jul-17,134.39,139.24,131.93,138.35,1020594
11-Jul-17,132.32,134.39,130.83,132.43,614024
10-Jul-17,135.00,136.05,132.44,132.65,702916
7-Jul-17,138.70,138.70,134.50,134.79,854368
6-Jul-17,138.99,140.76,136.30,137.24,835898
5-Jul-17,141.70,142.93,139.57,140.05,866551
3-Jul-17,140.00,143.45,139.02,142.00,391373
30-Jun-17,140.00,142.08,138.54,139.86,746151
29-Jun-17,143.21,143.84,139.63,140.99,703160
28-Jun-17,142.01,144.60,138.05,144.22,1177639
27-Jun-17,146.39,148.50,140.50,141.03,875629
26-Jun-17,147.97,150.17,144.59,146.71,1044630
23-Jun-17,149.03,153.25,146.17,146.72,4154306
22-Jun-17,143.11,153.98,141.01,149.77,1321539
21-Jun-17,138.74,143.58,138.24,142.13,1612589
20-Jun-17,141.53,141.53,137.00,137.97,1713259
19-Jun-17,130.65,146.33,129.04,142.96,4019116
16-Jun-17,143.37,146.84,142.63,144.31,965028
15-Jun-17,146.40,146.40,141.14,144.23,1196251
14-Jun-17,150.07,151.93,144.44,145.84,876290
13-Jun-17,144.49,150.37,141.05,148.94,1698851
12-Jun-17,139.53,143.41,131.82,142.67,1829719
9-Jun-17,139.70,140.74,125.05,138.78,3768952
8-Jun-17,141.76,142.85,138.16,139.67,574881
7-Jun-17,139.16,142.79,138.27,141.98,628052
6-Jun-17,141.85,142.98,137.01,138.75,989839
5-Jun-17,151.40,151.40,141.75,142.48,1150025
2-Jun-17,150.10,152.08,147.04,151.11,843076
1-Jun-17,146.79,152.30,143.10,149.22,1920697
31-May-17,144.17,168.92,140.23,149.31,4478675
30-May-17,149.46,150.74,142.07,143.43,1046790
26-May-17,152.84,156.22,148.58,149.11,675370
25-May-17,157.29,159.25,152.80,153.19,674543
24-May-17,156.16,156.72,152.50,155.73,572657
23-May-17,154.28,156.75,152.80,155.17,801852
22-May-17,152.29,155.29,149.57,154.47,593997
19-May-17,156.00,163.72,151.72,152.34,905145
18-May-17,146.23,156.01,144.07,155.23,1055636
17-May-17,148.10,152.14,144.74,145.40,812802
16-May-17,145.70,154.45,145.70,149.51,1325570
15-May-17,146.30,149.13,144.61,145.55,499974
12-May-17,141.36,149.15,141.36,145.60,822251
11-May-17,139.43,145.61,138.55,142.73,710546
10-May-17,138.25,142.49,136.39,139.45,775563
9-May-17,136.90,139.59,136.00,137.89,633994
8-May-17,145.00,145.00,135.80,136.87,849559
5-May-17,143.85,145.95,141.52,145.13,516897
4-May-17,141.00,146.46,140.01,143.59,591478
3-May-17,142.72,143.62,139.69,140.81,490131
2-May-17,147.25,148.97,142.88,143.28,674062
1-May-17,147.93,149.89,145.50,147.01,652144
28-Apr-17,147.60,148.51,143.57,147.59,596630
27-Apr-17,143.00,147.77,139.41,146.61,589459
26-Apr-17,138.85,142.72,138.03,142.01,994541
25-Apr-17,138.00,139.60,136.50,138.44,639186
24-Apr-17,137.15,138.01,135.23,137.15,542902
21-Apr-17,138.83,140.41,135.15,136.01,743982
20-Apr-17,144.50,147.92,131.00,139.01,3954308
19-Apr-17,147.05,150.40,145.52,148.00,652943
18-Apr-17,145.68,146.94,143.82,146.01,585329
