Date,Open,High,Low,Close,Volume
20-Oct-17,204.26,208.21,203.69,207.49,5138814
19-Oct-17,205.47,205.74,202.70,203.25,3471790
18-Oct-17,203.80,207.80,203.68,205.23,4796337
17-Oct-17,196.80,206.62,196.37,203.89,8949715
16-Oct-17,192.48,193.32,191.36,193.20,2927432
13-Oct-17,189.59,192.71,186.00,192.52,5435003
12-Oct-17,195.01,195.36,192.73,192.92,2954744
11-Oct-17,194.63,195.57,193.78,193.93,200930
10-Oct-17,196.26,196.43,193.67,194.68,2499815
9-Oct-17,198.01,198.32,195.78,196.30,3365386
6-Oct-17,197.90,199.99,197.51,198.06,3361896
5-Oct-17,199.93,199.93,196.56,197.90,4068977
4-Oct-17,199.03,200.73,198.43,200.48,2286385
3-Oct-17,197.50,199.44,197.26,198.63,2533804
2-Oct-17,196.59,197.91,196.33,197.44,2893553
29-Sep-17,195.82,196.09,194.48,195.85,2646297
28-Sep-17,194.25,196.54,193.51,196.10,2088374
27-Sep-17,193.20,195.62,191.74,194.49,3218558
26-Sep-17,192.31,194.36,192.04,192.70,2775350
25-Sep-17,193.27,196.31,190.92,191.75,3105892
22-Sep-17,195.11,195.87,188.25,193.03,5660220
21-Sep-17,195.63,196.13,194.90,195.21,1894964
20-Sep-17,195.02,195.84,194.06,195.75,2788463
19-Sep-17,198.44,198.60,192.39,194.65,3818982
18-Sep-17,198.17,198.82,197.51,198.19,1915478
15-Sep-17,198.52,199.71,197.20,198.18,4198691
14-Sep-17,197.95,198.38,197.09,197.73,2378644
13-Sep-17,197.80,200.76,197.78,198.33,2394409
12-Sep-17,199.44,199.47,196.91,197.47,2554695
11-Sep-17,199.25,200.42,198.78,199.58,3307919
8-Sep-17,198.43,198.86,197.00,197.75,2205962
7-Sep-17,197.77,199.48,197.07,198.17,2684599
6-Sep-17,199.54,199.99,197.63,198.38,3040218
5-Sep-17,199.20,200.44,198.71,199.31,2701585
1-Sep-17,199.79,199.99,198.36,199.75,2242195
31-Aug-17,196.93,199.49,196.39,198.90,2990177
30-Aug-17,196.38,196.88,195.20,195.88,1506690
29-Aug-17,194.83,197.04,194.33,196.73,2072225
28-Aug-17,194.59,195.81,194.36,195.09,2009912
25-Aug-17,195.33,195.54,194.14,194.36,1374959
24-Aug-17,194.55,195.07,194.21,194.75,1923668
23-Aug-17,194.50,194.59,193.72,194.24,1547001
22-Aug-17,192.15,194.96,191.56,194.79,2021865
21-Aug-17,190.88,192.31,190.88,192.03,1930478
18-Aug-17,192.84,193.20,190.63,190.82,2858501
17-Aug-17,193.75,194.24,192.66,192.70,2440930
16-Aug-17,194.81,195.27,192.83,193.77,1881640
15-Aug-17,194.47,195.01,193.81,194.50,1595189
14-Aug-17,194.60,194.75,192.90,193.71,2322000
11-Aug-17,193.91,194.54,192.66,193.02,2210720
10-Aug-17,194.26,194.39,192.40,192.57,2698646
9-Aug-17,194.90,195.36,194.16,194.83,2125851
8-Aug-17,194.68,194.99,194.08,194.90,1741007
7-Aug-17,194.81,195.41,193.90,194.78,2074754
