Date,Open,High,Low,Close,Volume
20-Oct-17,119.71,121.46,118.65,121.01,402257
19-Oct-17,120.15,120.15,118.00,119.06,432384
18-Oct-17,121.62,123.15,119.80,120.12,367917
17-Oct-17,119.49,123.22,119.49,121.79,237686
16-Oct-17,121.00,122.06,119.24,119.78,301811
13-Oct-17,120.56,121.88,120.20,120.51,166834
12-Oct-17,120.11,121.02,119.53,120.27,256919
11-Oct-17,121.71,121.71,118.77,120.15,672869
10-Oct-17,122.25,123.35,121.40,121.52,279328
9-Oct-17,123.48,123.69,120.60,122.04,332384
6-Oct-17,122.87,124.89,122.39,123.87,215684
5-Oct-17,122.00,124.15,120.82,123.95,216379
4-Oct-17,123.22,123.22,121.96,122.21,255690
3-Oct-17,122.98,124.00,120.37,122.82,402516
2-Oct-17,117.00,123.16,116.79,122.56,520038
29-Sep-17,118.78,119.91,116.65,117.19,447882
28-Sep-17,119.08,120.64,118.08,118.76,456441
27-Sep-17,119.08,120.56,117.92,119.46,308206
26-Sep-17,119.30,120.23,117.86,118.30,453996
25-Sep-17,115.14,120.12,115.04,119.64,418139
22-Sep-17,115.50,115.64,114.54,114.60,372309
21-Sep-17,117.65,118.16,115.35,115.45,653423
20-Sep-17,117.43,118.52,117.07,117.57,488291
19-Sep-17,120.00,121.51,117.47,117.53,470837
18-Sep-17,120.90,121.16,119.45,119.80,415686
15-Sep-17,120.85,121.73,120.46,120.79,843120
14-Sep-17,123.51,123.51,120.91,121.01,348924
13-Sep-17,123.42,124.62,122.30,123.18,456883
12-Sep-17,121.04,124.04,120.17,123.38,480487
11-Sep-17,121.00,121.62,119.67,120.75,696960
8-Sep-17,125.00,125.20,119.13,120.82,2279211
7-Sep-17,134.48,134.48,132.37,133.52,915749
6-Sep-17,133.77,136.17,133.77,135.03,695913
5-Sep-17,133.48,134.08,131.91,133.53,526280
1-Sep-17,130.57,134.43,129.94,133.35,508729
31-Aug-17,129.32,131.95,129.15,130.80,655808
30-Aug-17,128.09,129.93,128.09,129.17,342882
29-Aug-17,129.30,129.94,128.34,128.39,363199
28-Aug-17,129.17,130.59,128.66,129.61,320749
25-Aug-17,129.90,131.48,128.23,128.45,412064
24-Aug-17,130.69,131.00,129.11,129.86,332712
23-Aug-17,130.52,131.30,129.81,130.72,333135
22-Aug-17,130.00,131.83,129.74,131.28,433488
21-Aug-17,128.57,130.96,128.40,129.81,484772
18-Aug-17,130.69,131.27,128.79,129.10,557656
