Date,Open,High,Low,Close,Volume
20-Oct-17,154.97,155.85,152.60,154.63,1320895
19-Oct-17,154.57,155.79,152.42,154.60,1309420
18-Oct-17,155.29,158.04,154.02,154.76,1050665
17-Oct-17,154.55,156.00,154.02,155.05,795374
16-Oct-17,153.11,157.78,153.10,154.70,2328423
13-Oct-17,155.00,155.49,152.68,152.91,930281
12-Oct-17,152.93,154.85,152.84,153.98,1535039
11-Oct-17,153.85,154.64,151.65,154.02,1757612
10-Oct-17,155.19,156.23,153.50,154.52,1055522
9-Oct-17,155.85,157.29,154.46,155.55,1142475
6-Oct-17,152.43,156.46,152.31,155.10,1551110
5-Oct-17,153.09,153.57,150.96,152.30,1273734
4-Oct-17,152.26,153.82,151.36,152.51,970185
3-Oct-17,152.21,152.99,150.18,152.51,995007
2-Oct-17,151.23,153.17,150.10,152.23,2057693
29-Sep-17,151.21,152.34,149.18,152.04,1500162
28-Sep-17,148.60,150.99,147.60,149.62,2111073
27-Sep-17,148.86,150.98,147.30,149.07,2100498
26-Sep-17,149.85,150.82,148.00,148.46,1762039
25-Sep-17,151.19,152.79,148.77,149.10,1741161
22-Sep-17,151.54,152.07,148.58,151.26,1269855
21-Sep-17,153.22,153.29,151.69,152.06,808169
20-Sep-17,153.29,155.14,151.51,152.72,1931404
19-Sep-17,153.27,154.10,151.60,153.00,1428257
18-Sep-17,153.59,155.11,151.79,153.20,1386918
15-Sep-17,153.86,155.95,152.64,153.61,3112907
14-Sep-17,156.05,156.56,152.88,153.38,1461691
13-Sep-17,156.79,157.95,155.70,156.80,995081
12-Sep-17,156.65,157.79,155.40,156.82,800813
11-Sep-17,161.05,161.46,155.33,157.81,1519866
8-Sep-17,158.83,161.44,157.38,158.83,1064745
7-Sep-17,157.08,159.68,155.52,159.41,1235994
6-Sep-17,159.50,160.80,156.91,157.08,1328406
5-Sep-17,161.37,162.07,157.00,159.07,1327071
1-Sep-17,160.76,163.64,158.85,162.24,1708717
31-Aug-17,156.57,160.85,154.03,160.54,3329549
30-Aug-17,152.52,158.09,152.52,156.29,1246885
29-Aug-17,151.86,154.16,151.77,152.89,888423
28-Aug-17,154.64,154.91,151.05,153.40,1187856
25-Aug-17,156.88,156.93,152.25,153.27,943835
24-Aug-17,153.60,156.63,151.10,156.08,1148699
23-Aug-17,154.46,154.90,152.05,153.25,989435
22-Aug-17,149.19,155.92,149.19,155.48,1659747
21-Aug-17,148.00,150.26,147.42,149.01,1090074
18-Aug-17,147.65,150.11,147.18,148.13,887138
17-Aug-17,150.93,152.41,148.52,148.54,1019238
16-Aug-17,152.79,153.26,150.30,151.37,913411
15-Aug-17,154.45,155.28,152.55,152.72,734864
14-Aug-17,154.52,155.87,153.54,154.49,1082040
11-Aug-17,149.35,154.08,149.02,153.78,1551523
10-Aug-17,152.01,152.04,148.50,148.54,1302830
9-Aug-17,153.02,155.09,152.19,152.58,1037955
8-Aug-17,156.12,156.55,152.90,153.26,893487
7-Aug-17,152.60,156.63,152.60,156.47,926423
4-Aug-17,154.68,155.17,153.02,154.54,807795
3-Aug-17,155.72,157.27,152.26,154.03,1407101
2-Aug-17,151.80,157.91,151.47,157.55,1781663
1-Aug-17,153.03,154.07,150.64,153.20,1621140
31-Jul-17,152.99,154.49,151.54,151.82,2975961
28-Jul-17,155.30,157.20,153.58,154.15,1880425
27-Jul-17,160.88,163.32,153.50,156.19,3918877
26-Jul-17,162.15,164.53,161.70,163.42,2087173
25-Jul-17,166.94,167.86,161.72,161.97,2424136
24-Jul-17,162.33,166.58,160.91,166.11,2444532
21-Jul-17,158.14,163.64,156.53,163.17,3176393
20-Jul-17,159.94,161.76,157.25,159.33,4927397
19-Jul-17,161.80,167.00,158.88,159.69,16800128
18-Jul-17,129.21,132.30,127.67,132.16,3311555
17-Jul-17,130.44,132.05,128.26,129.21,1136207
14-Jul-17,131.77,131.81,130.42,130.99,1278651
13-Jul-17,131.74,131.74,128.39,130.92,1600610
12-Jul-17,133.38,133.62,130.60,131.44,1288462
11-Jul-17,129.71,132.50,129.26,132.17,1336928
10-Jul-17,129.93,130.36,128.64,128.66,1517263
7-Jul-17,129.14,130.88,129.12,130.35,1019946
6-Jul-17,127.32,128.94,125.50,128.46,1171802
5-Jul-17,128.31,130.44,127.34,129.00,1320590
3-Jul-17,129.49,129.89,126.68,128.23,825185
30-Jun-17,132.20,132.39,126.58,128.87,1582260
