Date,Open,High,Low,Close,Volume
20-Oct-17,12.40,12.46,12.09,12.13,9259123
19-Oct-17,12.14,12.59,11.89,12.48,19618246
18-Oct-17,12.82,12.82,12.36,12.39,15476309
17-Oct-17,13.00,13.11,12.62,12.81,10741383
16-Oct-17,13.41,13.45,12.89,12.92,14128432
13-Oct-17,13.77,13.77,13.12,13.39,15955232
12-Oct-17,14.31,14.31,13.81,13.83,8507300
11-Oct-17,14.44,14.50,14.35,14.42,549298
10-Oct-17,14.55,14.74,14.39,14.46,5490229
9-Oct-17,14.43,14.55,14.31,14.42,3985782
6-Oct-17,14.51,14.62,14.38,14.46,4184994
5-Oct-17,14.38,14.69,14.32,14.57,8286518
4-Oct-17,14.35,14.65,14.29,14.38,6574470
3-Oct-17,14.65,14.78,14.16,14.36,10833890
2-Oct-17,14.35,14.70,14.03,14.62,11014374
29-Sep-17,14.01,14.54,13.89,14.33,14266304
28-Sep-17,14.29,14.32,13.43,13.76,20569958
27-Sep-17,14.10,14.44,14.03,14.39,6176120
26-Sep-17,14.06,14.30,13.98,14.10,5036126
25-Sep-17,13.95,14.16,13.93,14.09,6080884
22-Sep-17,14.30,14.30,13.90,14.01,4770255
21-Sep-17,14.07,14.41,13.86,14.23,6225626
20-Sep-17,13.76,14.18,13.70,14.07,5923963
19-Sep-17,13.86,13.94,13.63,13.77,5070707
18-Sep-17,13.95,14.03,13.63,13.79,9400136
15-Sep-17,14.03,14.16,13.88,13.92,6937885
14-Sep-17,14.06,14.13,13.85,13.99,5308228
13-Sep-17,14.35,14.38,14.03,14.11,8006477
12-Sep-17,14.40,14.60,14.23,14.43,9178727
11-Sep-17,13.83,14.44,13.81,14.19,12728187
8-Sep-17,13.36,13.63,13.33,13.61,6917473
7-Sep-17,13.15,13.50,13.13,13.38,7232603
6-Sep-17,13.07,13.20,12.90,13.16,9648624
5-Sep-17,13.32,13.52,12.97,13.10,11566196
1-Sep-17,13.49,13.49,13.01,13.33,8658751
31-Aug-17,13.16,13.57,13.16,13.42,10348338
30-Aug-17,13.22,13.32,12.96,13.19,14556947
29-Aug-17,14.02,14.04,12.89,13.24,28933823
28-Aug-17,14.04,14.27,13.83,14.23,8166597
25-Aug-17,14.60,14.77,13.98,14.14,13814603
24-Aug-17,14.45,15.08,14.41,14.75,10891682
