Date,Open,High,Low,Close,Volume
20-Oct-17,178.44,180.99,177.33,180.52,498534
19-Oct-17,175.87,177.26,172.50,177.24,210944
18-Oct-17,174.50,179.93,174.50,176.04,538298
17-Oct-17,169.47,175.10,167.52,174.03,482313
16-Oct-17,167.94,168.98,166.61,167.92,381784
13-Oct-17,163.68,169.39,162.25,168.64,520017
12-Oct-17,170.25,170.70,167.47,168.31,503999
11-Oct-17,167.10,168.08,166.82,167.58,39691
10-Oct-17,170.38,170.46,167.23,167.68,253876
9-Oct-17,174.29,174.29,170.25,170.75,187147
6-Oct-17,172.62,174.52,172.30,174.04,213451
5-Oct-17,174.17,174.22,170.77,172.10,506673
4-Oct-17,175.71,176.07,174.02,174.09,315541
3-Oct-17,172.87,176.40,172.87,175.72,317234
2-Oct-17,172.12,173.37,170.44,171.86,185259
29-Sep-17,171.02,172.33,170.57,171.74,230357
28-Sep-17,168.01,170.95,166.71,170.91,223875
27-Sep-17,165.76,168.69,164.45,168.22,225887
26-Sep-17,165.02,166.99,164.74,165.42,237233
25-Sep-17,167.48,169.05,163.85,164.15,258481
22-Sep-17,166.24,169.59,162.34,167.16,447090
21-Sep-17,166.25,168.06,164.95,166.06,323036
20-Sep-17,168.38,168.96,164.58,165.67,848857
19-Sep-17,176.06,176.56,166.10,168.16,596254
18-Sep-17,177.96,178.40,175.92,175.99,228266
15-Sep-17,176.18,178.26,175.44,177.79,429045
14-Sep-17,175.00,176.43,173.35,176.18,273226
13-Sep-17,175.64,176.71,174.03,174.50,184009
12-Sep-17,176.31,176.48,173.38,175.39,202902
11-Sep-17,173.85,176.30,172.25,176.15,219809
8-Sep-17,171.85,173.13,171.12,172.20,283025
7-Sep-17,171.22,173.50,170.98,172.44,243258
6-Sep-17,176.74,176.74,170.11,171.34,537112
5-Sep-17,175.02,177.31,174.91,176.01,228722
1-Sep-17,175.26,175.90,174.29,175.45,212822
31-Aug-17,170.61,174.89,170.12,174.68,434226
30-Aug-17,167.34,170.70,166.78,169.89,347476
29-Aug-17,167.60,168.57,166.63,167.36,351253
28-Aug-17,168.27,169.77,167.98,168.22,389295
25-Aug-17,171.08,171.29,168.79,168.82,545601
24-Aug-17,170.63,170.63,169.06,169.54,702275
23-Aug-17,171.85,171.85,167.95,169.78,700183
22-Aug-17,174.02,174.10,171.17,171.85,401261
21-Aug-17,173.91,174.87,173.02,174.09,261592
18-Aug-17,176.27,176.49,173.43,173.56,222027
17-Aug-17,174.65,176.64,174.65,175.76,222030
16-Aug-17,174.54,175.60,173.95,174.64,340909
15-Aug-17,175.05,175.43,173.58,174.11,282478
14-Aug-17,174.41,174.99,173.90,174.33,124420
11-Aug-17,171.12,174.74,170.86,172.39,319511
10-Aug-17,173.49,173.50,170.85,172.03,380386
9-Aug-17,173.46,175.12,172.50,173.77,251347
