Date,Open,High,Low,Close,Volume
1-Oct-15,21.07,21.53,20.93,21.38,1617936
30-Sep-15,21.01,21.48,20.92,21.02,764859
29-Sep-15,21.74,21.75,20.93,21.01,1056746
28-Sep-15,23.96,23.96,21.72,21.85,1010388
25-Sep-15,24.25,24.95,23.50,24.00,1275803
24-Sep-15,24.50,24.82,24.30,24.74,720171
23-Sep-15,24.47,24.76,24.40,24.50,525038
22-Sep-15,25.15,25.15,24.44,24.60,781622
21-Sep-15,25.13,25.39,24.91,25.01,348944
18-Sep-15,24.86,25.14,24.79,24.97,727755
17-Sep-15,25.31,25.47,24.99,25.09,416336
16-Sep-15,24.40,25.37,24.40,25.29,897097
15-Sep-15,24.00,24.39,24.00,24.37,359339
14-Sep-15,24.52,24.67,24.00,24.04,396063
11-Sep-15,24.17,24.71,24.17,24.55,349463
10-Sep-15,24.08,24.56,24.00,24.30,794012
9-Sep-15,25.31,25.46,24.41,24.45,730414
8-Sep-15,25.10,25.41,24.85,25.15,785219
4-Sep-15,25.00,25.28,24.55,24.85,626301
3-Sep-15,25.01,25.98,25.01,25.24,761230
2-Sep-15,25.50,25.75,24.55,25.14,1971814
1-Sep-15,23.00,23.23,22.80,22.92,716262
31-Aug-15,23.19,23.35,23.00,23.07,311720
28-Aug-15,23.36,23.55,23.18,23.28,314635
27-Aug-15,23.62,23.90,23.32,23.43,641636
26-Aug-15,23.50,23.67,23.00,23.48,284365
25-Aug-15,23.55,23.67,23.00,23.12,525670
24-Aug-15,22.35,23.29,22.21,23.00,466670
21-Aug-15,22.92,23.28,22.17,23.05,568172
20-Aug-15,24.46,24.67,23.49,23.52,786344
19-Aug-15,24.94,24.96,24.61,24.64,259953
18-Aug-15,24.99,25.31,24.46,25.04,251409
17-Aug-15,25.11,25.29,24.84,25.12,245127
14-Aug-15,24.43,25.20,24.37,25.16,402081
13-Aug-15,24.89,24.99,24.48,24.55,350629
12-Aug-15,24.30,24.86,24.22,24.82,243149
11-Aug-15,24.53,24.66,24.19,24.46,343629
10-Aug-15,24.81,25.09,24.52,24.57,293189
7-Aug-15,25.25,25.25,24.52,24.75,399110
6-Aug-15,25.75,25.80,25.23,25.40,391915
5-Aug-15,25.75,26.00,25.59,25.77,497037
4-Aug-15,25.72,25.89,25.48,25.60,346555
3-Aug-15,25.87,26.31,25.30,25.63,398275
31-Jul-15,26.12,26.12,25.72,25.84,1510689
30-Jul-15,25.74,26.42,25.54,26.00,903448
29-Jul-15,26.09,26.40,26.01,26.09,680700
28-Jul-15,26.24,26.41,25.60,26.16,711022
27-Jul-15,25.56,26.10,25.25,26.08,463729
24-Jul-15,26.13,26.28,25.51,25.55,630650
23-Jul-15,26.28,26.44,26.10,26.18,431630
22-Jul-15,26.13,26.64,26.08,26.23,275798
21-Jul-15,26.49,27.40,26.15,26.26,409982
20-Jul-15,26.73,26.89,26.08,26.25,446760
17-Jul-15,26.93,27.06,26.60,26.72,314541
16-Jul-15,26.82,27.11,26.64,26.87,329327
15-Jul-15,26.97,27.14,26.73,26.83,368325
14-Jul-15,26.71,26.96,26.62,26.86,223045
13-Jul-15,26.48,26.67,26.42,26.62,249477
10-Jul-15,26.23,26.49,26.08,26.37,243273
9-Jul-15,26.23,26.39,25.88,26.08,336168
8-Jul-15,26.41,26.49,25.95,26.02,383901
7-Jul-15,26.25,26.54,26.02,26.51,501695
6-Jul-15,25.94,26.43,25.84,26.23,326751
2-Jul-15,26.11,26.17,25.88,26.08,286465
1-Jul-15,26.39,26.61,25.96,26.05,431544
30-Jun-15,26.33,26.50,26.01,26.26,1268518
29-Jun-15,27.13,27.25,26.12,26.21,566438
26-Jun-15,27.36,27.39,27.02,27.20,511053
25-Jun-15,27.48,27.58,27.12,27.26,520305
24-Jun-15,26.99,27.36,26.86,27.31,761995
23-Jun-15,26.89,27.09,26.79,26.96,335832
22-Jun-15,27.01,27.13,26.67,26.81,709071
19-Jun-15,27.16,27.29,26.76,26.90,820302
18-Jun-15,26.85,27.33,26.81,27.08,703452
17-Jun-15,27.65,27.67,26.84,26.91,715226
16-Jun-15,27.54,27.66,27.18,27.52,373549
15-Jun-15,27.58,27.78,27.30,27.51,236787
12-Jun-15,27.84,28.07,27.63,27.65,335621
11-Jun-15,27.74,28.05,27.54,27.90,557965
10-Jun-15,27.43,27.71,27.36,27.67,538398
9-Jun-15,27.38,27.55,27.16,27.35,1044444
8-Jun-15,27.41,27.47,27.00,27.36,794484
5-Jun-15,27.47,27.63,27.11,27.39,1002163
4-Jun-15,27.40,27.82,27.18,27.41,1664905
3-Jun-15,27.65,27.65,27.23,27.48,1100266
2-Jun-15,27.29,27.87,27.06,27.55,889447
1-Jun-15,27.50,27.83,27.09,27.51,680198
29-May-15,27.35,27.49,27.21,27.40,906452
28-May-15,27.23,27.49,27.18,27.38,720125
27-May-15,27.03,27.23,26.83,27.22,508787
26-May-15,26.49,26.98,26.45,26.91,620149
22-May-15,26.97,27.14,26.57,26.59,479435
21-May-15,26.24,27.08,26.07,27.00,898202
20-May-15,26.09,26.50,25.92,26.30,900964
19-May-15,26.21,26.50,25.97,26.04,592508
18-May-15,26.39,26.78,26.05,26.18,1107713
15-May-15,26.05,26.52,25.85,26.43,1299891
14-May-15,25.60,26.25,25.49,25.97,928130
13-May-15,25.21,26.02,25.20,25.61,1413090
12-May-15,25.26,25.43,24.87,25.35,341567
11-May-15,25.34,25.76,25.31,25.33,224442
8-May-15,25.20,25.54,24.70,25.48,666493
7-May-15,25.00,25.30,24.90,24.97,425244
6-May-15,24.61,25.06,24.47,24.97,898883
5-May-15,24.85,25.02,24.49,24.55,734431
4-May-15,25.00,25.33,24.78,24.89,1000058
1-May-15,25.53,25.61,24.55,24.91,1372884
30-Apr-15,25.86,26.68,25.07,25.37,1359366
29-Apr-15,25.74,26.09,25.49,25.65,905702
28-Apr-15,26.13,26.34,25.69,25.75,1603770
27-Apr-15,26.36,26.48,25.89,26.07,1130261
24-Apr-15,26.31,26.58,26.17,26.26,417989
23-Apr-15,26.12,26.50,26.00,26.29,473755
22-Apr-15,26.21,26.32,25.77,26.08,1098132
21-Apr-15,26.15,26.26,25.96,26.22,713722
20-Apr-15,26.03,26.20,25.91,26.11,432365
