Date,Open,High,Low,Close,Volume
20-Oct-17,18.23,18.34,17.75,17.88,1592644
19-Oct-17,18.20,18.65,17.98,18.22,932561
18-Oct-17,18.10,18.73,17.96,18.24,1152756
17-Oct-17,17.81,18.19,17.77,17.99,735210
16-Oct-17,18.05,18.25,17.75,17.94,702546
13-Oct-17,18.07,18.33,17.95,17.99,592234
12-Oct-17,17.95,18.31,17.75,18.11,1068499
11-Oct-17,18.67,19.05,18.67,18.79,45838
10-Oct-17,18.92,19.20,18.76,18.80,670878
9-Oct-17,19.08,19.26,18.60,18.88,827149
6-Oct-17,20.28,20.35,19.11,19.17,1150135
5-Oct-17,19.94,20.49,19.60,20.39,1023058
4-Oct-17,19.38,19.88,19.33,19.82,785808
3-Oct-17,19.43,19.50,19.21,19.47,474760
2-Oct-17,19.07,19.58,18.96,19.41,828932
29-Sep-17,18.87,19.30,18.66,19.01,826149
28-Sep-17,19.05,19.23,18.75,18.82,626627
27-Sep-17,18.68,19.35,18.66,19.01,785113
26-Sep-17,18.94,18.94,18.40,18.69,527246
25-Sep-17,18.66,19.06,18.55,18.70,908751
22-Sep-17,18.66,18.92,18.52,18.75,502814
21-Sep-17,18.91,19.04,18.56,18.75,568386
20-Sep-17,18.79,19.19,18.65,18.89,696285
19-Sep-17,19.48,19.49,18.72,18.81,923912
18-Sep-17,19.37,19.70,19.36,19.47,673895
15-Sep-17,18.92,19.47,18.85,19.37,1527015
14-Sep-17,19.82,19.82,18.61,18.89,1197275
13-Sep-17,19.69,20.02,19.45,19.83,803822
12-Sep-17,19.91,20.07,19.59,19.81,572475
11-Sep-17,20.07,20.25,19.64,19.85,612637
8-Sep-17,19.80,20.25,19.75,19.85,490716
7-Sep-17,19.90,20.10,19.55,19.82,573926
6-Sep-17,20.18,20.36,19.67,19.96,660294
5-Sep-17,20.00,20.47,19.50,20.04,907738
1-Sep-17,19.65,20.67,19.62,20.17,1296477
31-Aug-17,19.18,19.99,19.05,19.73,1036525
30-Aug-17,19.01,19.29,18.71,19.17,1006197
29-Aug-17,17.75,19.37,17.67,19.04,1573089
28-Aug-17,18.02,18.27,17.77,18.11,1176436
25-Aug-17,18.67,18.75,17.69,17.73,1155803
24-Aug-17,18.25,18.68,17.77,18.67,812738
23-Aug-17,17.77,18.15,17.30,18.03,717421
22-Aug-17,17.43,17.89,17.28,17.82,672686
21-Aug-17,17.33,17.83,17.04,17.39,1020970
18-Aug-17,17.66,17.75,17.05,17.30,1084875
17-Aug-17,18.15,18.33,17.58,17.62,1247781
16-Aug-17,18.64,18.81,17.96,18.21,1072306
15-Aug-17,18.58,18.87,17.82,18.63,1527722
14-Aug-17,19.99,20.50,18.51,18.55,2100036
11-Aug-17,18.52,19.68,17.70,19.65,2111631
10-Aug-17,20.01,20.78,17.74,18.66,2988896
9-Aug-17,20.48,21.10,20.19,20.98,987342
8-Aug-17,21.47,21.66,20.63,20.66,704056
7-Aug-17,21.65,21.93,21.43,21.50,557609
4-Aug-17,21.32,21.70,21.22,21.65,496090
3-Aug-17,21.05,21.40,20.93,21.32,657590
2-Aug-17,21.39,21.69,20.60,21.09,658764
1-Aug-17,21.63,21.66,20.73,21.38,926571
31-Jul-17,-,-,21.56,21.59,581964
28-Jul-17,22.39,22.59,21.94,22.55,440405
27-Jul-17,23.23,23.64,22.43,22.49,643431
26-Jul-17,23.21,23.45,22.95,23.12,342023
25-Jul-17,23.24,23.40,22.79,23.19,595387
24-Jul-17,23.51,23.80,23.03,23.06,581176
21-Jul-17,23.50,23.84,23.41,23.61,390890
20-Jul-17,23.00,23.74,22.97,23.65,605763
19-Jul-17,22.96,23.29,22.76,23.00,511796
18-Jul-17,22.80,23.07,22.43,22.92,495632
17-Jul-17,23.08,23.58,22.79,22.83,564718
14-Jul-17,24.12,24.48,23.09,23.13,947150
13-Jul-17,23.50,24.45,23.05,24.12,598077
12-Jul-17,23.28,23.83,23.20,23.55,443708
11-Jul-17,23.48,23.72,22.90,23.14,529870
10-Jul-17,24.22,24.35,23.43,23.50,597129
7-Jul-17,24.32,24.80,24.11,24.23,572649
6-Jul-17,24.94,25.15,24.06,24.16,958970
5-Jul-17,24.45,25.30,24.25,25.13,854253
3-Jul-17,24.17,24.72,23.98,24.40,327188
30-Jun-17,24.22,24.55,23.72,24.09,666799
29-Jun-17,24.93,25.18,23.82,24.14,808859
28-Jun-17,24.33,25.11,23.88,24.93,669214
27-Jun-17,25.34,25.46,24.04,24.07,868905
26-Jun-17,25.36,25.88,24.85,25.38,748671
23-Jun-17,25.18,25.80,24.78,25.36,1115712
22-Jun-17,24.05,25.63,23.76,25.29,1230583
21-Jun-17,23.36,24.18,23.26,23.95,759165
20-Jun-17,23.30,23.92,23.22,23.30,727518
19-Jun-17,22.74,23.59,22.46,23.40,913300
16-Jun-17,22.83,22.91,22.37,22.56,2218777
15-Jun-17,23.35,23.84,22.66,22.82,609381
14-Jun-17,22.74,23.94,22.71,23.48,726429
13-Jun-17,23.28,23.47,22.44,22.78,831492
12-Jun-17,22.26,23.28,21.87,23.16,1038792
9-Jun-17,22.68,23.25,22.25,22.35,844321
8-Jun-17,22.03,23.04,21.80,22.65,807608
