Date,Tick,Close,Polarity,News
2016-01-04,AAAP,30.67,0.0,0
2016-01-05,AAAP,30.88,0.0,0
2016-01-06,AAAP,29.96,0.0,0
2016-01-07,AAAP,29.65,0.0,0
2016-01-08,AAAP,28.0,0.0,0
2016-01-09,AAAP,27.5966666667,0.0,0
2016-01-10,AAAP,27.1933333333,0.0,0
2016-01-11,AAAP,26.79,0.0,0
2016-01-12,AAAP,24.71,0.0,0
2016-01-13,AAAP,26.09,0.0,0
2016-01-14,AAAP,25.24,0.0,0
2016-01-15,AAAP,24.7,0.0,0
2016-01-16,AAAP,25.025,0.0,0
2016-01-17,AAAP,25.35,0.0,0
2016-01-18,AAAP,25.675,0.0,0
2016-01-19,AAAP,26.0,0.0,0
2016-01-20,AAAP,26.78,0.0,0
2016-01-21,AAAP,26.8,0.0,0
2016-01-22,AAAP,27.89,0.0,0
2016-01-23,AAAP,26.86,0.0,0
2016-01-24,AAAP,25.83,0.0,0
2016-01-25,AAAP,24.8,0.0,0
2016-01-26,AAAP,24.86,0.0,0
2016-01-27,AAAP,24.75,0.0,0
2016-01-28,AAAP,23.81,0.0,0
2016-01-29,AAAP,24.88,0.0,0
2016-01-30,AAAP,25.02,0.0,0
2016-01-31,AAAP,25.16,0.0,0
2016-02-01,AAAP,25.3,0.0,0
2016-02-02,AAAP,24.88,0.0,0
2016-02-03,AAAP,25.02,0.0,0
2016-02-04,AAAP,26.44,0.0,0
2016-02-05,AAAP,25.76,0.0,0
2016-02-06,AAAP,25.2,0.0,0
2016-02-07,AAAP,24.64,0.0,0
2016-02-08,AAAP,24.08,0.0,0
2016-02-09,AAAP,24.06,0.0,0
2016-02-10,AAAP,25.18,0.0,0
2016-02-11,AAAP,24.54,0.0,0
2016-02-12,AAAP,25.01,0.0,0
2016-02-13,AAAP,25.2575,0.0,0
2016-02-14,AAAP,25.505,0.0,0
2016-02-15,AAAP,25.7525,0.0,0
2016-02-16,AAAP,26.0,0.0,0
2016-02-17,AAAP,26.99,0.0,0
2016-02-18,AAAP,30.68,0.0,0
2016-02-19,AAAP,31.1,0.0,0
2016-02-20,AAAP,31.4,0.0,0
2016-02-21,AAAP,31.7,0.0,0
2016-02-22,AAAP,32.0,0.0,0
2016-02-23,AAAP,31.33,0.0,0
2016-02-24,AAAP,32.84,0.0,0
2016-02-25,AAAP,33.0,0.0,0
2016-02-26,AAAP,32.98,0.0,0
2016-02-27,AAAP,33.1433333333,0.0,0
2016-02-28,AAAP,33.3066666667,0.0,0
2016-02-29,AAAP,33.47,0.0,0
2016-03-01,AAAP,32.65,0.0,0
2016-03-02,AAAP,32.5,0.0,1
2016-03-03,AAAP,33.2,0.0,0
2016-03-04,AAAP,33.49,0.0,0
2016-03-05,AAAP,33.9166666667,0.0,0
2016-03-06,AAAP,34.3433333333,0.0,0
2016-03-07,AAAP,34.77,0.0,0
2016-03-08,AAAP,34.57,0.0,0
2016-03-09,AAAP,34.55,0.0,0
2016-03-10,AAAP,33.98,0.0,0
2016-03-11,AAAP,32.56,0.0,0
2016-03-12,AAAP,32.94,0.0,0
2016-03-13,AAAP,33.32,0.0,0
